User,All_Followers,nF
tarruda,"Sannis,danielmahon,csjaba,FergusRedican,Victorious-abhi,miohtama,eughenio,ryross,thurloat,jhmilan,aekkasilp,izhangleilei,khalil-tabbal,isaiasmac,NiloBohn,kishoregorle,orige,paulocoliver,alecerosiete,klederson,od3n,luis-kaufmann-silva,frenzymedia,abunour,invasionofsmallcubes,daniwebss,lifesite,abunour22,mesandoval,msmosso,joegalaxy71,BrahimBoulkriaat,jefersonperrot,minhnvt1,pmaingi,filipecrosk,mesaravanan,ogny,leoj3n,Pana,ashleyh,h2ero,shemerey,aaronlifton,jnettome,mweibel,viktor-evdokimov,blueyed,else,mauricioabreu,cweagans,songgao,viszu,avelino,douglarek,BeTmAsTeR,vheon,yuchen,endel,oblitum,city41,a-sk,prereflect,Sourceless,acx0,reedes,VjRashmi,noctuid,mhaidarh,tbranyen,bunsenmcdubbs,sidorares,bolasblack,a13xb,vtpp,rolisz,tregusti,thiderman,jjvein,ouabing,Happy-Dude,luisgabriel,jjsantos,prodigeni,ionux,stillzhl,xiaoduo,terlar,barrabinfc,fhferreira,dvidsilva,llrt,pedrofranceschi,wjx,fraga,axilleasiv,hupili,yefb,tymm,matsko,douglasdrumond,luuse,snatchev,danjesus,gaving,guygal,ruoshan,rajaravivarma-r,satyrius,georgeanderson,rafamoreira,andrew,luizwbr,denerblack,chrishokamp,Wyntau,saulojmc,aschneiderg,yesenarman,daltonmatos,dragonfax,saghul,nicolasacchi,kmf,paulelms,ibrahimsag,marcker,marcoscoelho,mudox,tony,jdavis,nicolaslazartekaqui,zacts,MartinBrugnara,vapniks,thiagovas,hlilje,kassio,vaxXxa,TeddyBear06,iansinnott,mvrilo,EzekKkiel-,rbaron,suxinde2009,jjangsangy,perok,iwinux,rainerborene,gribeiro,travisjeffery,genoma,j1wilmot,kepbod,Chilledheart,nate00,santhoshr,tonatiuh,GoAwayPeter,rmoriz,josemalcher,Alive-AttemptTheLifeGangHouse,longdeqidao,TheSoftwareGuy,markfarrell,florianajir,0xae,BlackEdder,Khunpisit,myeyesareblind,netvarun,tarcisiocjr,kuntau,lovelock,suy,eschwabe,faeliaso,andresosorio86,chipocrudos,ucasano,whyreal,nhtzr,dewaka,renstrom,YaronWittenstein,daniloisr,vialrogo,neitanod,gkunwar,myitcv,gmaggior,daGrevis,acrao,jelera,rafi,UmkaDK,fwalch,jb55,bluddy,charlenopires,HTshandou,Passw,TetragrammatonHermit,jlngllt,khalidchawtany,ruthenium,bluepowder,elmart,tors,YaroslavGaponov,weirongxu,marcelino671,faceleg,abasak,deniscostadsc,jvang2003,ARoiD,bohrshaw,osmanyazici,JikkuJose,fanchangyong,dwieeb,felipap,lpirola,neeasade,philss,InFog,shawnohare,paulolieuthier,syswow,blastmaster,di3goleite,mkusher,yuealves,ivancrneto,rgrinberg,ladislas,isovector,juejung,sullyj3,tungel,erroneousboat,lazywei,jochenvdv,pacuna,dcai,adambiggs,simonweil,gilbertwyw,etcinit,xanderdunn,Tranquility,erthalion,danihodovic,beloglazov,diffractometer,ArcoMul,Numkil,lwille,revdan,everpointer,just-barcodes,gbaptista,raunaqrox,mkfifo,rockneverdies55,muhammad-burhan,knakayama,panders23,lucamezzolla,drwx,gsec,felipeluna,rrcosta,iasoon,sheharyarn,myshov,mikepjb,edinhomartins9,Shougo,ZzCalvinzZ,xieyunzi,changbiao,BlueMonday,fin618,gabrielpconceicao,ajnsit,foocraft,eipplusone,zchee,rafaeln,haomingz,Mangierre,rygwdn,iagopiimenta,wk-j,timfeirg,mcgirr,svanburen,Psidium,mjacobus,cnbin,RobertMarton,razzius,diegopenhanut,marcovirtual,mtchllbrrn,tomaszj,lingsha17,christiansu,pauloromeira,jakohole,naumazeredo,samtron1412,nestortmj,steelsojka,cyrixhero,macat,wyantb,cmizony,vagnerdev,pnakibar,fpereira1,rsdenijs,tamorim,tonekk,gcstr,vbauerster,ryyppy,sublimino,kpearson,raghuugare,piglei,jbsilva,andsild,wdv4758h,meiralins,toniokroeger,JackDanger,jared-skinner,danilogr,jorge-jbs,aru777,bheesham,fredr,dcgudeman,lborgav,zloban,roberbnd,felladrin,spider8,lezorich,soyelmnd,theExperiences,SchDen,cielpy,kennym,jasontbradshaw,sebglazebrook,KomaBeyond,stik3nd,sysbot,papucho,cozywigwam,geonik,seatownrocks,miolini,DionysusG,xjose97x,bo-wu,riyasmohamedmr,jwilm,ianks,oversize,smarquez1,thalesmello,wsdjeg,Michaelizm,daynin,sinetoami,jpruiz114,nhooyr,ApolloTang,Yackback,ermyas,C-Radius,andrewsuzuki,SirHash,SolaWing,hitripod,zhuochun,chrsp,plhwin,Fluen,Shanjiv,dapine,normful,Macmod,nicolaiskogheim,ninrod,hxegon,Xerkus,askamiroff,JiriChara,onlurking,medeirosthiago,henriquemenezes,hansrodtang,sunjay,hakoerber,douglascamata,tweekmonster,NL057,alexfradiani,hijaycool,kt3k,fsouza,hashhar,drodrigo,ochocolas,davecoates,nexusstar,julianosaless,cometsong,chrisenytc,MichalPaszkiewicz,alexandrelucchesi,vijayanant,javogel,tosipaulo,mcchrish,stevelorenz,fab-du,andrewmichaud,popkinj,NguyenTrungTin,RaymondCrandall,tjdevries,thiagodebastos,Lafaiet,haifengkao,nongiach,lwilkerjr,bigalnz,nkypy,gvillalta99,jittuu,timofonic,ORCm-Kingster,diegosurita,jorgemdnt,P4Cu,guilhermeleobas,subhojit777,romildojpaiter,caoer,dvinciguerra,matheus,SJTUboy,changhwikim,rzani,douglascorrea,d-g-h,kawasakikou,lzzluca,hacklschorsch,drrzmr,bboydflo,felippenardi,audhityaMoose,nael8r,cidiomar-jr,alcipir,altair-roberto,weslly,ggerico,loliktry,tonykevin,gvassallo,arthurmco,stsewd,matagus,emanoelvianna,sballert,clay-f,felipek,giann,aklt,freestatman,jceb,marcelofidelix,jcdenaes,lourkeur,matheuss,shmcgrath,b4ut4,djsharox,bryphe,luizdotpro,fish2000,rekcahi,dlresende,ArnaudParan,laborautonomo,iosmanthus,alexche8,nkantar,FurtiveNeptune,mdutra,Dooor,sunlijun,franklinjavier,tjsampson,brunojm,kennetpostigo,vincentyangcoursehero,dimiro1,gabriel2761,geiltonxavier,gustavolivrare,wolfram77,nfultz,zhujinxuan,Kasama,Wallchs,mubassirhayat,jvanz,Vrroom,tuanphpvn,mavier,I60R,AlexxNica,rod-stuchi,DavidUser,dunstontc,kumaranvpl,zaisheng,citlacom,Giannisduke,davidedc,SMcDonnell,jacobzlogar,mshindal,gq23401,maojr,SurfaceB00k,caianrais,vianaweb,mul14,John-Lin,wellington1993,kiooss,falconsw,ravigehlot,wilon,Bunlong,jimpsson,JoelWachsler,relson,yshalenyk,Asheq,meitham,bmedicke,samuelmaddock,gynet,jetamartin,avimehenwal,kvsrh,atomic,jits",570
mairatma,"brunocoelho,henvic,eduardolundgren,aperrelli,azar7k1s,itsjesusurias,fredericksilva,rdiego26,ViniciusVinna,jlucasps,plcosta,gabrihellmateus,taiar,octavioamu,rtancman,pedropolisenso,jrvlima,vsouza,pragmaticivan,tialmachado,wellingtonlorindo,gabrielfgularte,joilsonmarques,dielduarte,bennotti,jotadepaula,leonascimento,pmarquees,edmolima,tassoevan,devallfor,saintclair,jonatasdlp,guisouza,leandrooriente,vilaboim,Julyyq,renanlima,marcoscoelho,brurago,jeanfpm,nicolastarzia,paulorcv,cponeill,luisfmsouza,silky,MackMendes,pedrorezende,vince-cc,gmoura,carlohcs,andrevvalle,eduardostuart,fernandosouza,wutenklem,rodrigoferrazazevedo,hudsonmarinho,charlenopires,relson,raisiqueira,byoigres,iagovelasco,Pickachu,diegoslva,teodortalov,douglastycho,AdrianoCahete,arzola,gutofoletto,naeluh,welksonramos,dnsmnds,asudheerkumar89,sanjeetjh,isabellaolive,lifeart,fraescaya10,marciopuga,duartedouglas,emadshaaban92,metricaidops,pereiragislene,eduardofx,jmnavarro,vitortalaia,daldegam,patrickrbc,iamtchelo,felipemrodrigues,agathamartins,pranavlathigara,matheuslc,glaucosydow,alexfalcucci,rafjaa,aburkov,afonsopacifer,paulocardoso,AZHARULLAH,marceloch2,mvfsillva,ricardousp,RenanPalmeira,dream120,myfreeweb,imranamanat,csae1152,niktrix,peiyaoh,ythecombinator,vjefri,dleitee,danilosampaio,vivekparekh8,fmm,vernaillen,gabrielcorado,laissandrade,mcanthony,mubaidr,murat-aka,skyzito,0x7b1,Ezimon,wikimix,strathausen,douglas-queiroz,di3goleite,luisgabriel,thulioph,circy,leavittx,fdaciuk,andrewesteves,djipco,massilva,lin-credible,adrianowead,nicolascarbone,Uriel29,llkey221,henriquemenezes,rntdesign,mapx,elenatorro,danyfu,TiagoWinehouse,cusspvz,onurkaracali,benjaminaaron,brunopereiradonascimento,ethib137,binhqd,eiso,bryceosterhaus,ognian7,jmanuelrosa,maparrar,talitapagani,kienD,hville,fernandosg,matheuslugon,proustibat,Ashok93,yuchi,mthadley,valmormn,javierlopezdeancos,pedroqueiroz,yanmagale,rafaellacerda,wilfernandesjr,leocassioo,lucasopf,diogo-lins,rkotze,douglascabral,davidmerrique,rafaela,firstdoit,TheCoder84,lfreneda,mmarjani,zhangchunsheng,alexpessoajr,fabiomcosta,dann95,tcostam,joseluisq,jdonaghue,xc0d3rz,uk-casmith,javierbyte,lushsoft,waldemirflj,fanqi,Deubledee,meiralins,simoneas02,smzakirhossain,zehfernandes,kurumkan,Vazcore,iamjesse98,HeavenH,patroclo404,gabrieoel,wellington1993,luanpontolio,martinciscap,VimalRaj571,jmarrietar,ShimmiDhami,mcahornsirup,marcelofraga,RasheedDammane,y0635h,JulieBurk,esyy,stubailo,kyle-wendling,gusma,principp1,shawon14012,callmevlad,otofu-square,joaoeffting,hhughes314,filipewl,yoamomonstruos,Dannier0702,jocelio,lksilva,joshpitzalis,alexfqc,IamEmreCelik,pipiobjo,leesiongchan,iagobelo,vvinhas,Kinaan,AnnaGabriela,rsusanto,Musbell,22mahmoud,cdiaz,juandav,jbaxleyiii,mavharsha,crojas,joshuaburkholder,randa12,MuraraAllan,Praveenk25,lagden,nandoacoelho,leozangulo,diogoalves,mkny,joao-alberto,dalinhuang99,alizaib,nfultz,samkariu,chilliams,wellermiranda,chan48,NetoDevel,codeinaire,JoseMontesRicardo,YuuwakU,albertmourato,rturk,faisalmuhammad,Turbiani,belv2c,resilva87,AntonBrito,jerolan,izanf,tito58,grodrigues,leonardoelias,toyeebgodo,AyomideOtunba,abhiaiyer91,julkwel,flyingluscas,ricardoorellana,thuanlv287,diegonvs,asynchub,brunover,jbwestphal,w3debugger,kantharia,maiolddie,stevefox,ghulamhussain,mlbors,yhagio,PauloPaquielli,yowify,nerdyglasses,dheerajbharsiya,veekas,fagnercerqueira,ntmedina,wschenkel,karshanmugam,paulovitin,dlwagner,3h1a1r,AbderrahimSoubaiElidrissi,LarissaAbreu,mpadel78,GermanCV,yuriscosta,hiuryoliveira,aferreira44,Happy-Ferret,karlafalcao,ggmartins,lukeajtodd,raphamorim,hoenirvili,devsorax,paulohrodrigues,fredygil,shaweiguo,bulian1311,maxim-ivv,erved,MohitTilwani15,spiral2k,spences10,jeovazero,JonathanSum,Aditya27,betiol,alvarowolfx,identidadgh,gdad-s-river,rhkina,GannouniMohamed,ehabmsd,luismorenolopera,pamidisetti,christianvizarra,Rana-Muhammad-Amir,Youngestdev,gaetani,Husamuddin,ericOnda,abadiu,emanueljoivo,FBrito1,robneal,ydvsailendar,koz,lupenium,akinhwan",363
joselitojunior1,"renatooliveira,jeffesonmaia,jotaefe,duartefq,JoaoGFarias,rodrigolc,pragmaticivan,Cisneiros,erickmendonca,tporto,danielgued,alessandrostein,dancasttro,rodrigoliimaa,randhson,raisiqueira,biarox,vogeljr,vhugodev,juniorgodoi,ibrahim-netto,gabrielmancini,RonierisonMaciel,CavalcanteR,erickncnunes,mfandrade,jeanlucaslima,gbrlsepulveda,dayvisons,NandoKstroNet,meiralins,arthurmichel,erickjones,faeliaso,embs,jonlima,thiagotargino,apugeat,felipeluna,gpedro,iamfelipemattos,vitormalencar,iamtchelo,EEmery,marciomassari,Icons8-Team,adolfoaugusto,filipedeschamps,msaidel,TiagoWinehouse,felipesousa,joelwallis,diegosorrilha,augustoabreu,anapaulagomes,cicerohen,charlenopires,leerduo,raloliver,di3goleite,paoloalmeida,n370,892848153,alvarowolfx,ythecombinator,fnk0,esdrascavalcs,renanmorais,luksm,alvarojoao,vicentedealencar,mrtavat,analistacarlosh,DougFischer,rodrigolabs,welksonramos,cusspvz,adamsalves,marcelohd,ovwane,isaiastavares,lnfnunes,israelsantiago,ArthurAssuncao,thulioph,icarusbro,nerdcalistenico,rodrigorhas,angusshire,ReinaldoAugustoFurtadoFilho,felladrin,lidia-freitas,marieli,renoirsousa,pcstl,Wmitrut,reimertz,riyasmohamedmr,woliveiras,fpereira1,RAMBOOZE,felipexw,thompsonemerson,felipepedroso,sercaneraslan,mvfsillva,gnuns,MarceloBritoWD,luiz158,ThaisaMirely,cristianodelucca,pranavlathigara,mtbroker,ricardobelo,emersonbarbosagithub,BruceFenghaha,danilovaz,victorhsn,csh520,akinhwan,lincolnbrito,DilsonDev,LuizLazaro,nilkesede,monjovi,grodrigues,aandreecarvalho,christophermoura,zackhaikal,EdZava,jorginhodev,LucianoNMoreira,lsandrade,klarkc,cesonha,mauriciomanoel,evertonpessoa,luisrbferreira,levisaturnino,theus,iagocavalcante,f0ntana,mirjahal,vitorbritto,cwz8202,paulomenezes,lucasselliach,vinaocruz,leoeek,dsreliete,afonsopacifer,Pierry,hailongfeng,AnnaGabriela,ivandinizaj,yanmagale,douglas-neves,chiquitto,fcothiagofreitas,RafaelSG01,mcruz85,andreximenes,annesoares,rogodev,adammacias,lcelso,tyagonunes,rohithadassanayake,jeffersonmourak,rildomoraes,luanfonceca,sibelius,jourdanrodrigues,mrprompt,andreguigo,thiagobrc,felipeuliana,onhernandes,AllysonSilva,JohnatanMaciel,movibe,josemalcher,geisasantos,fernandopedro,clarasantana,ricardomirannda,luanribeiros,carladrieli,pedrro,mariofelesdossantosjunior,danielcordeiro,orenatoaraujo,HDeiro,pedrofsn,Bilusca,alexferreiradev,andersoonweb,gabrielgene,edubalf,jandersoncampelo,TianJiaDaShao,lincolnpires,luanh01,asfelix,guiigos,zhilingcheng,fabioinfo,igor9silva,alexandroabade,geraldo-netto,neewtonsilva,williamchitto,ClaraTersi,fmsedrez,max2320,guilhermefrancisquini,alexjunior012,edu-bot,leo424y,thiagolacerdadesouza,marcelogbastos,idaniloreis,leodufer,wallaceerick,vmussak,shenlongchao,nathanwells27,antonyalkmim,cesarcosta99,3jacksonsmith,dmop,vupv,joao-alberto,olarclara,01viniciusmelo,hugocarreira,kaduufr,gfreivasc,carolhcs,gabrieoel,pedromourasistemas,ravpacheco,witerbino,wagner3m,caiojhonny,peaonunes,fabiancarlos,flavianohonorato,TiagoDeveloper,cristianounix,LucasCalazans,amaurycatelan,ViniciusAugusto,rubyvrooom,juniorabranches,FlavioBrognara,Karfann,marciobera,anchietajunior,rodrigoftw,leoruhland,hi15,capaci,laylacodogno,perico63,danielmundim,Auugustocesar,AlexxNica,marceloavf,andreybleme,haochenprophet,FlappyLang,joaogabrieljs,AdrianoMoreira,AlbertMelo,sarkartanzil,asifssarker,anunitraushan,meendoo,dilannery,VitorCardosoGt,saydulk,chavesrodolfo,dnlcst,INTERLIGADOS,carloshpdoc,RodolfoSilva,eduardofaneli2,fshitstack,marcondesmacaneiro,dqueiroz,maicongouveia,dcpadilha,oCanabrava,uselessdev,brunopereiradonascimento,dalinhuang99,imandyie,rodrigogregorioneri,rafaellakeury,psmatias,Jorge-William,hberbary,rivailruiz,BrenoAngelotti,AllanD1,jeffersonmello,loraineduarte,ivanscher,andrejorgejr,wharley,rafaelporfirio,kivervinicius,lucasmls,montecchyo,rafaelfariasn,michellegalindo,drcabral,talitaoliveira,mikejavier,oguhpereira,lhcgoncalves,Bunlong,GiammaCarioca,JordanaN,osergioneto,junqueira,rubenmarcus,teixeira-fernando,itagyba,Davizera,LarissaAbreu,drianoaz,marcosfelipp,dayanfcosta,guiguetz,rodrigo-brito,karlafalcao,giovannipds,PauloPaquielli,wellington1993,SEdilson,matheusgigliotti,AlexGalhardo,dudapinto,nilton-naab,apsferreira,betiol,vhfmag,jsantosio",350
marcelcaraciolo,"thiagoarrais,brunojm,henriquebastos,macndesign,andrewsmedina,matagus,fabiocerqueira,hltbra,ogrisel,fcurella,thulio,rafaelcaricio,thiagoh,frenetic,lipse,adonescunha,gileno,hjlewischen,flavioribeiro,rodrigoclira,jbochi,adrianomelo,rodrigoamaral,felipeborges,angelobrito,fjsj,douglas,claytonaalves,peicheng,rochacbruno,digabriel,lauromoura,druwynings,luisgabriel,duducosmos,henriquemenezes,renatooliveira,nielsonsantana,victorcase,renatocan,filipevarjao,rafaeldsantos,arthuralvim,uzix,seucolega,galvezz,brunocm,lucasaugustomcc,b1r3k,abellogin,0x8086,patrickrbc,shobhit,ddexter,jeppe,wtest,liuzhiquan,mt3,kplaube,neviim,loganrj,lucmichalski-was,manmadewind,sagarrakshe,vgoklani,netcaptors,bhakthan,amsqr,tgonzales,andlima,gladson,luzfcb,wiliamsouza,cesarFrias,danillosouza,rickcunha,pims,rsandrini,LucasMagnum,geofferyzh,abmxer,klebercode,gr33ndata,gustavopinto,amany-mm,hbmartin,beikome,filipemanuelofs,awper361,luanfonceca,filipeximenes,thiagosimonin,nellaivijay,perone,mdbecker,zedoul,pedrohasselmann,gabraganca,jgabriellima,leouieda,scw,luizirber,linkerlin,EmanEid,JT5D,irgmedeiros,boxme,gabrielpjordao,murilobsd,jonasporto,leotada,lboaretto,ensemblearner,amferraz,vitoriavasconcelos,ibrahimatay,lrezende,djadmin,adjeiessel,jpsilvaj,andrecosta90,psholtz,rbanffy,heliobentzen,chinnurtb,toninhonunes,DiegoVallely,tupy,marco-istccp,ickyatcity,DiegoYungh,anujku,fredericksilva,ivolima,nataliehan23,AndreAmorim,alfakini,samuelleach,aaoliveira,elinaldosoft,gustavodemari,shirobert,iory1987,gabstehr,dannyeuu,mishrm01,rsudharshan,cydu,daniellqueiroz,vambati,mosfilho,rafaelportela,josephmisiti,ralbahra,NatanJMai,alexfalcucci,givanaldo,matheuscburger,reinzteix1982,ivancrneto,osantana,guilhermepaiva,Miicchhel,puliyadivinod,HendryLi,vlslv,wellington16,waderly,chaoshengt,rafaelpiresm,kiscz,victorcarrico,rajpalkulhari,rafaelcassau,wellvsilva,ericmakita,marcelmfs,lelimat,kbahtus,ningyuwhut,shinhithi,cerdman,abnercarleto,slitayem,erolrecep,jadsonsol,max-85,8gnt,pauloromeira,eneskemalergin,raonyguimaraes,deniscostadsc,windeye,rodrigodealexandre,varunparkhe,rodcaseribe,ehnaton,meowoid,just4jin,geocarvalho,hugoesb,hijbul,carlosbertin,RoMartini33,vasasdani,larissaleite,wyorgb,davande,mohankalathi,cretchas,SabrinaPanceri,DevendraDesale,di3goleite,nleeandro,jrenato7,vparikh10,adivanslim,aburkov,gustavobmaia,Alastair-JavaRec,Wanderson77,babywolfusa,wsshopping,basil2style,JonnatasCabral,dilannery,mauriziofederici,alvarojoao,momolas,MENG2010,Gustavomagalhaes,ahlusar1989,chinnaiitb,Alafazam,faizankshaikh,angusshire,tyrielbr,amitmse,gauravssnl,orlandoxavier,silviomoreto,geankleber,Igor14Rafa,Sri0405,jasonlunardi,jorgegean,jamissonfreitas,turboic,harshvardhanraju,jacksongomesbr,trietptm,daurelioberlinsmartdata,matija077,yousuf031991,strategist922,pranshu28,philippe28,wsacin,Helengirl,vfranca,Flowerowl,luizhenriquesoares,paulomatos,jailsonsantos1987,Deepesh87,abhijitch,priancho,DevJoseWeb,xmnlab,rntdesign,MikkoF,flowes,magicleo,joyinsky,pavvu,Aridian1842,Jasmin25,siva2k16,fajk,graffaner,BillySurya,anuparna,santosandsilva,muhammedeltabakh,samantarayprasantkumar,thiagolacerdadesouza,lucecerqueira,vimalanandans,S-KSM,sarviovalente,HugoPorto,heltonalves99,vinipachecov,danilovbarbosa,Wesam266,smrjan,vanglian,georghildebrand,michelenazareth,brunnogomes,davuttam,richban,codinguncut,wbgalvao,marciolavrador,KevinHock,tcostam,jayme-anchante,wyangbs,minesh1291,gautamkmr,lsa1es,clenio77,nfultz,monajalal,italorossi,fcolnaghi,shyamagrawal786,algope,rishabhgarg7,kiwi4py,divyang4481,1marcushenrique,V1NAY8,abevieiramota,cristianounix,sngupta07,karlafalcao,danieldsf,lilangbr",330
luanfonceca,"brunohenrique,luizvarela,gladson,lucasbibiano,thiag9,brnrdog,IgorMarques,maximiliano,leviex,claranobre,diegotoral,cesarFrias,theroan,Higorhicaro,Johnmelo,andrezap,berinhard,fernandogrd,renatooliveira,essejonatas,luizrogeriocn,filipeximenes,lucasmcastro,PedroFelipe,karydja,SeuRAUL,jaimerson,marioidival,danilobellini,lboaretto,filipemanuelofs,andrezacm,sadjow,adelinosegundo,TheHydra,jakezachariahnixon,r4vi,mstrcnvs,ewertonorg,dayanepabla,Igorolivei,marco-istccp,kaueburiti,mribeirodantas,wendellpbarreto,klebercode,fabiocerqueira,arthuralvim,andrewsmedina,kirotawa,guilhermebr,Macario,periclesmacedo,MoisesAbraao,thyagobr,giancarlozero,raquel-oliveira,italorossi,SvenChmie,gilsondev,MildoJr,mayroncachina,joseluizcoe,caiuafranca,ozifrankly,augustoppimenta,leonascimento,I-am-Gabi,larissaleite,joepreludian,mauler,tgdnts,hudsonmarinho,frenetic,Gusttavomarinho,jeansantana,jeffque,bgildson,huogerac,henrywm,fariias,guikingma,Fabricio-PortalCom,St4rk,cenkbircanoglu,di3goleite,iuridiniz,decko,sergiomario,JoabMendes,fcschmidt,yanjustino,Bledson,jeancsanchez,00s,d4n1,brunoomatheuss,deniscostadsc,victor-torres,fjsj,faeliaso,gpedro,osmarfelix,mswell,francielsilvestrini,Santii,joelwallis,lerrua,aburkov,guilouro,jeffersonmourak,Liellison,wagnerjs,hallanmc,batusa,ricardobelo,mariadelara,toiinnn,mauricioabreu,dilannery,othonalberto,rodrigoamaral,ottony,evangilo,mileo,cogumm,meiralins,brunocasanova,AndressaStefany,jeffersonxplode,estheraragaos,TamilisManoele,SaraMaria,yuriscosta,andrepgsilva,eltonvs,lucasmiqueias,samyaiires,raelmax,bal699,franklindias,angusshire,felipevolpone,GAzevedo,PKpacheco,felladrin,joffilyfe,argusrocha,deividazevedo2,fsouza,ythecombinator,metadings,Tiago-Lira,StefanYohansson,taizarm,luisclaudio26,jimmyandrade,inaciomdrs,rmulkey,kfjohnny2,luanxmedeiros,fernandojunior,gileno,mcassiano,felipemfp,woliveiras,vidalvasconcelos,israelsantiago,rodrigondec,denilsonmedeiros,chicobentojr,joanerocha,orlandoxavier,arnobioduarte05,elinaldosoft,victorhos,Tayllson,andrelramos,shyba,JonnatasCabral,mikemajesty,MikkoF,caiovictormc,benjymb,BernardoAT,rocha8019,jhonylucas74,Mazuh,vmesel,hdiogenes,zrcing,Linux-Player,jairojair,vctrmagno,helber,Vermisse,python-django-Kandibyala-yuvarajsekhar,nikhilem,bindusynapten,baianorn,kfalconspb,JaineBudke,nymarya,hiagohubert,rafagarcia2,RedmannCodes,FabioSilvaIT,alvescaio,felipegameleira,duduribeiro,obernardovieira,PedroRegisPOAR,SHENOISZ,Cazuky,biazzotto,raivitor,smzakirhossain,deng305,maurxeugenio,Vinihcampos,carolmb,Rennosmx,oiricaud,alexandretok,davidallysson,PCoelho07,danieldsf,pentalpha,ThiagoAnderson16,yanvancelis,lmedson,hugobandeira,marinhoarthur,welkson,nathecia,izaeleffemberg,RivaldoAndrade,sarahraquel,gustavowl,caiopo,fernandolins,ErvalhouS,heltonalves99,msouto,Barbalho12,Anderson7805,jtemporal,jake100,suelliton,felipesousa,AlexVKO,mikhailklassen,uxcardoso,edaivs,arthur-alvess,dalinhuang99,cruxiu,EclipseMain,thulioph,HargovindArora,dgoscn,mstraughan86,vkandola,amit9651,orlandosaraivajr,anapauladsmendes,beatrizuezu,lisboaxd,dmesquita,guidiego,fccosta,opengiineer,tarsisazevedo,leandrorochaadm,giovanisleite,felpsisonfire,jjosinoms,kauegimenes,geraldo-netto,joanasouza,werberth,delitamakanda,mvcris,rodrigosampai0,nfultz,Cbettte,Oroneki,rftHusn,matheuseabra,jonatanbandeira,PauloPaquielli,jj151,walison17,socertis,shenzhoudance,Phomint,jhonnyulisilva,ArthurCaratti,victorfarruda,cibelecastelo,voBits",301
