User,Followers,nFs,All_Followers,nF
meiralins,"luanfonceca,filipeximenes,fjsj,arthuralvim,pcstl,chocoelho,victorcarrico,hugobessa",8,"victorcarrico,filipeximenes,fjsj,luanfonceca,cusspvz,angusshire,arthuralvim,embatbr,pcstl,mazulo,izabelacborges,dalinhuang99,jrodolfolima,sh4nr0ck,kauegimenes,cassiobotaro,umluizlima,gtpedrosa,nfultz,hugobessa,pauloromeira,chocoelho",22
inacionery,"paulorec,interaminense,victorlaerte,diegonvs,alexpessoajr,rafaprax,pedroqueiroz,jhdavino",8,"rafaprax,alexpessoajr,ajsb85,thiagoh,interaminense,victorlaerte,angusshire,leoadb,pedroqueiroz,Vermisse,pvkreddy2001,shznaqvi,hgfischer,mstraughan86,eleandrotersi,diegonvs,camisLuisa,akinhwan,jhdavino,paulorec",20
paulorec,"interaminense,victorlaerte,jordanamorais,alexpessoajr,inacionery,rafaprax,eudesll,tobiasparaiso",8,"victorlaerte,rafaprax,alexpessoajr,thiagoh,cusspvz,alicaglayan,inacionery,interaminense,angusshire,phpenterprise,nishchaldua,soyelmnd,MichalPaszkiewicz,taharushain,tvvocold,perfettiful,VagrantStory,JeorgeMatt,dominicg666,ternsip,krishnak9,JoaoGabrielAmaral,rod,lin,Gooooodman,RogerFederer03,Vermisse,manu14889,chenyoufu,jpruiz114,ramon,v,chongbenben,JoseCage,jackscarx,dengyi1992,kusha,b,k,jordanamorais,mapmf,nathalyas,yfgeek,ramirobrandao,eudesll,fpchemical,eversonverissimo,michaelbazos,suissa,tobiasparaiso,nfultz,marciojr,KevinHock,hanapotski,jake100,ktxxt,EclipseMain,dalinhuang99,ncleshyne,mstraughan86,vkandola,cenaion,tilemachoscfu,kenjinote,srcmaxim,enjelhutasoit,LowApe,rftssn,FatamaBe,kauegimenes,thiagohofmeister,GabrielDS,johntakesnote,indrajithbandara,carlosjuchoa,rftHusn,opengiineer,ihor,ramonwrocha,mikkimesfin,Azync,RithvikKasarla,SurfaceB00k,tacic,tachibanana,T,vK,ping,link,AdiChat,duboviy,evirliemanuel,silvnt,adrianobeserra",88
rafaprax,"paulorec,interaminense,victorlaerte,diegonvs,jordanamorais,alexpessoajr,inacionery,pedroqueiroz",8,"paulorec,leoadb,alexpessoajr,thiagoh,victorlaerte,inacionery,ajsb85,interaminense,jordanamorais,pedroqueiroz,Vermisse,fernandosouza,mstraughan86,diegonvs,rigosouza,akinhwan,phcp",17
julianalucena,"guiocavalcanti,embs,JoaoGFarias,ThaisaMirely,peaonunes,fltiago,tacionery,aricardoreis",8,"tacsio,aricardoreis,brunocoelho,embs,jessicabarbalho,kelonye,sergiofontes,guiocavalcanti,rrecio,fltiago,lupeke,vitoriavasconcelos,Bouckaert,RobertoBarros,STRd6,ThaisaMirely,franzejr,JoaoGFarias,tacionery,thnery,peaonunes,mateuschaves",22
lhaisrs,"simoneas02,mayrarabelo,alexjosesilva,rodolfoestevam,mangueBit,bernardoreis,Jemesson,tiagocalisto",8,"RibeiroAna,mayrarabelo,luanamartins,simoneas02,ruthkaveke,mguilhermetavares,di3goleite,alexjosesilva,rcdl,veridianaMelo,geisasantos,MichalPaszkiewicz,ErickSimoes,fernandosouza,edu,bot,githubgirls,tiagocalisto,rodolfoestevam,carl,alberto,bernardoreis,nfultz,natashaandrade,Jemesson,lpirola,anabictoledo,mlrl2,linoca,mangueBit",28
frankjuniorr,"simoneas02,HaysaRodrigues,yelken,FranciscoMarinho,ericbbraga,favasconcelos,lpmourato,lmyboy",8,"endersonmaia,thiagobrc,enilapb,vitoriavasconcelos,carloseduleal,HaysaRodrigues,mdediana,eduardoaleixo,lucasbao,jarbasjacome,lmyboy,simoneas02,yelken,diegopreviero,FranciscoMarinho,lpmourato,MichalPaszkiewicz,ericbbraga,pranavlathigara,Carlos,Ot,favasconcelos,tewarid,familqasimov",23
lipse,"filipeximenes,zimmerle,guiocavalcanti,brunnogomes,daniellqueiroz,lauromoura,nielsonsantana,rafaelllins",8,"rafaelcaricio,zimmerle,nielsonsantana,rafaelllins,filipeximenes,guiocavalcanti,aericson,tarsisazevedo,dennynewtech,dymx101,daniellqueiroz,trietptm,lauromoura,cusspvz,rodrigoclira,angusshire,Linux,Player,brunnogomes,KevinHock,dalinhuang99,clebeer",21
horaciojcfilho,"pcstl,embs,foolOnTheHill,hpbl,caionovaes,paulomenezes,felipebagetti,AleffHenrique",8,"embs,rayanaguisanda,felipebagetti,AleffHenrique,fulano7,nutbutterfly,ppamorim,caionovaes,jhgv,SuriyaaKudoIsc,dimsa,nogn,foolOnTheHill,gabrielpconceicao,jokorivai,huchun,cusspvz,pranavlathigara,angusshire,NatanCC,ersanyakit,vinod1988,imadix,AleBarreto,matiasinsaurralde,archiedalisay,ezequieljuliano,landrix,cadu,tech,emmjk,ardhyn,mguilhermetavares,pcstl,saadmahboob,juanccilleruelo,Valbrand,eltonfs,hpbl,marciojr,bruna,dev,paulomenezes,dalinhuang99,mstraughan86,JessiPal,EclipseMain,juliadebelli,tiidadavena,kauegimenes,ovflowd,robertroeser,johntakesnote,marknemesis,gheygb,faustogut,KevinHock",55
pedroqueiroz,"interaminense,victorlaerte,diegonvs,alexpessoajr,inacionery,rafaprax,AlexandreDiegoS",7,"AlexandreDiegoS,tolribeiro,igormatos,inacionery,rafaprax,pragmaticivan,leoadb,ajsb85,victorlaerte,fernandosouza,interaminense,alexpessoajr,diegonvs,camisLuisa,rigosouza,akinhwan",16
