User,Repo_Member,mRepo_Language,Repo_Owner,oRepo_Language
marcellustavares,"brunobasto/hackaday_library,inacionery/com-liferay-portal-workflow,liferay/com-liferay-analytics","JavaScript,Java,Java","marcellustavares/alloy-ui,marcellustavares/com-liferay-analytics,marcellustavares/com-liferay-dynamic-data-mapping,marcellustavares/com-liferay-journal,marcellustavares/com-liferay-portal-workflow,marcellustavares/dashing,marcellustavares/devcon-workspace,marcellustavares/dynamic-data-mapping-type-time,marcellustavares/forms-backlog,marcellustavares/imperative-ocl,marcellustavares/jodd,marcellustavares/liferay-apps-content-targeting,marcellustavares/liferay-extensions-sample,marcellustavares/liferay-plugins,marcellustavares/liferay-portal,marcellustavares/liferay-prototypes,marcellustavares/linux,marcellustavares/sass-java,marcellustavares/sprint-jira-report,marcellustavares/wedeploy.com","JavaScript,Java,Java,Java,Java,JavaScript,Java,Java,Java,Java,Java,Java,Java,Java,Java,Java,C,Java,Python,CSS"
embs,"adalrsjr1/k8s-monitoring,Bouckaert/donamaria,brunoocasali/trustvox-ia,geteloquent/avro,geteloquent/avro-extension-sample,geteloquent/velocity-tools-avro,iallengabio/SNetS,redu/formacao-ruby-redu","HTML,Ruby,HTML,Java,Java,Java,Java,Ruby","embs/avro,embs/battle,embs/bdance,embs/bin,embs/blog,embs/brave-example,embs/char_proc,embs/common,embs/csocks,embs/data-plane-api,embs/donamaria,embs/embs-blog.github.io,embs/embs.github.io,embs/env,embs/envoy-filter-example,embs/faraday,embs/food,embs/gitless,embs/gitrepo,embs/gl-empty-dir,embs/istio.github.io,embs/kroc,embs/locust,embs/maverick,embs/microservice-adaptation,embs/microservices-demo,embs/minikube,embs/msm,embs/opencensus-website,embs/openzipkin.github.io,embs/othergitrepo,embs/ptracing,embs/rack_server,embs/rbinder,embs/sock_shop_zipkin_sampling_experiments,embs/telegram_bot,embs/the-codeless-code,embs/til,embs/trustperf,embs/trustvox-ia,embs/user,embs/uSport,embs/VirtuaSimulator","Java,Scala,Ruby,Shell,HTML,Java,Java,Go,C,Python,Ruby,HTML,HTML,Vim script,C++,Ruby,None,Python,None,None,HTML,None,Python,Groovy,Java,Shell,Go,Java,CSS,CSS,None,C,Ruby,C,Shell,Ruby,None,NewLisp,HTML,HTML,Go,Ruby,Java"
dvro,"adrianomelo/ldc,glemaitre/unbalanced_dataset_jmlr","C,TeX","dvro/1001,dvro/Aprendizagem,dvro/awesome-machine-learning,dvro/awesome-python,dvro/brew,dvro/coding,dvro/convnets-keras,dvro/hdbscan,dvro/imbalanced-bibtex,dvro/imbalanced-learn,dvro/ldc,dvro/ml,dvro/scikit-learn,dvro/scikit-protopy,dvro/sf-open-data-analysis,dvro/TG,dvro/unbalanced_dataset_jmlr,dvro/vox,dvro/xgboost","Python,Matlab,Python,Python,Python,C,Python,Jupyter Notebook,TeX,Python,C,Python,Python,Python,HTML,Python,TeX,None,C++"
kessiacastro,"Amandapsi/acessopsicologia,gustavoguerino/EstruturasDeDadosNaoLineares,gustavoguerino/TAD-Grafo,I-am-Gabi/flask-minicurso","CSS,Java,Java,Python","kessiacastro/be-mean-instagram,kessiacastro/be-mean-instagram-artigos,kessiacastro/be-mean-instagram-mongodb,kessiacastro/be-mean-instagram-mongodb-excercises,kessiacastro/bluehand-rescue,kessiacastro/br-pyladies-pelican,kessiacastro/br.vuejs.org,kessiacastro/fullstack-nanodegree-vm,kessiacastro/guidelines-resources,kessiacastro/react-basics,kessiacastro/students-predictions,kessiacastro/survive_the_horror,kessiacastro/twu-biblioteca-kessia,kessiacastro/vue-tutorial","JavaScript,None,None,None,None,CSS,JavaScript,Python,None,JavaScript,JavaScript,Ruby,Java,JavaScript"
tomersimis,"dcms2/school-manager,godely/ttsearcher,marlonwc3/echelon,marlonwc3/gdi-projeto,mmfrb/siscom,pazspm/gdi-projeto2,pazspm/skimscheme,rafaelfccg/JavaMiddleware,rafaelfccg/JMSImplementation","Java,JavaScript,JavaScript,None,Python,None,Haskell,Java,HTML","tomersimis/angular-masonry,tomersimis/diggit,tomersimis/editable-table,tomersimis/GetDone,tomersimis/Go-Back-N,tomersimis/helm,tomersimis/if686,tomersimis/if686-1,tomersimis/jaeger-client-go,tomersimis/jornada,tomersimis/jornada-ui,tomersimis/KanjiDraw,tomersimis/lss,tomersimis/manguezal.github.com,tomersimis/raygun,tomersimis/rgms,tomersimis/threedee,tomersimis/tracking.js,tomersimis/ui-select,tomersimis/webgl","CoffeeScript,JavaScript,JavaScript,HTML,Java,Go,Haskell,Haskell,Go,HTML,HTML,Java,JavaScript,CSS,Go,Groovy,C++,JavaScript,JavaScript,JavaScript"
Suburbanno,kvnol/front-end-handbook-2017,JavaScript,"Suburbanno/ADSnake,Suburbanno/animate.css,Suburbanno/AutoClicker.py,Suburbanno/BjDark,Suburbanno/EA879-2017s2,Suburbanno/FcSF,Suburbanno/foxcontact,Suburbanno/free-programming-books,Suburbanno/Gallery,Suburbanno/git-guide,Suburbanno/gitsocial,Suburbanno/hack.chat-login,Suburbanno/hammer,Suburbanno/hello-robot,Suburbanno/hello-world,Suburbanno/Hulk-DDoS-version-2.0,Suburbanno/I-Miss-You,Suburbanno/INGLogos,Suburbanno/ingress-logos,Suburbanno/JS30,Suburbanno/lolcognac-website,Suburbanno/Lpython,Suburbanno/microsoft-drop-ice,Suburbanno/MrRobot,Suburbanno/Noxus,Suburbanno/osusig,Suburbanno/osuweb,Suburbanno/patchwork,Suburbanno/Plug.djAvatarChanger,Suburbanno/Plug.djBadgeChanger,Suburbanno/PlugCSS,Suburbanno/PoGoUserCheck,Suburbanno/PokemonGO-Pokedex,Suburbanno/PortScan,Suburbanno/python-spotify-win,Suburbanno/RCS-Dark,Suburbanno/simple-bot,Suburbanno/sofialunkes.github.io,Suburbanno/source,Suburbanno/stress-css,Suburbanno/Suburbanno.github.io,Suburbanno/TelegramRAT,Suburbanno/tTumblr,Suburbanno/UnCSS-Online,Suburbanno/VhackOS-ServerXP,Suburbanno/vHackOSBot-Python,Suburbanno/Woot","Python,CSS,Python,CSS,TeX,Python,Python,None,Java,HTML,None,JavaScript,Python,PHP,HTML,Python,JavaScript,None,Shell,HTML,C#,Python,None,Python,Python,PHP,JavaScript,HTML,JavaScript,JavaScript,CSS,Python,None,Python,Python,None,Python,HTML,JavaScript,JavaScript,JavaScript,Python,HTML,JavaScript,Python,Python,JavaScript"
iagobelo,"14beet/RecTeatro,fernandaalmeida/butuka,liphvf/rmonitor,rodolfoestevam/agenda-contato,VitorPoncell/poturnoChat,yelken/vozdamulher-android,yelken/vozdamulher-ios","HTML,None,TypeScript,Java,Java,Java,None","iagobelo/avana,iagobelo/bankers-algorithm,iagobelo/brackets,iagobelo/Catter2,iagobelo/contact-list,iagobelo/DBPA,iagobelo/desafio-concrete,iagobelo/design-patterns,iagobelo/electron,iagobelo/es6,iagobelo/expo-react-native-docker,iagobelo/fluenti-js,iagobelo/fun-js,iagobelo/gulp-basic-setup,iagobelo/hackacity-2016,iagobelo/hackathon-uber,iagobelo/hacker-cidadao-2016,iagobelo/hyper-gub,iagobelo/iagobelo,iagobelo/javascript,iagobelo/mastering-redux-talk,iagobelo/materialize,iagobelo/port-scan,iagobelo/preact-php-server-render-example,iagobelo/se-cuida-mona,iagobelo/search-beers-react,iagobelo/Solid-Rascal","None,Java,JavaScript,Java,JavaScript,Java,JavaScript,Java,C++,None,None,None,None,JavaScript,Java,JavaScript,Java,None,None,JavaScript,None,JavaScript,Python,JavaScript,JavaScript,None,C#"
tarcisio-marinho,,,"tarcisio-marinho/acidentes-de-transito,tarcisio-marinho/allegro,tarcisio-marinho/BitcoinBot,tarcisio-marinho/blindness,tarcisio-marinho/Block_pendrive,tarcisio-marinho/Botnet,tarcisio-marinho/Compiler,tarcisio-marinho/cryptomining,tarcisio-marinho/dotfiles,tarcisio-marinho/Eliza,tarcisio-marinho/gerador_senha,tarcisio-marinho/GonnaCry,tarcisio-marinho/graph,tarcisio-marinho/identificador_hash,tarcisio-marinho/IMDB-Data-Analyzes,tarcisio-marinho/KeepSecret,tarcisio-marinho/logg-em,tarcisio-marinho/Minicurso-Python,tarcisio-marinho/ML,tarcisio-marinho/Music-Downloader,tarcisio-marinho/Music-Generation,tarcisio-marinho/NeuralNetFromScratch,tarcisio-marinho/olx-bot,tarcisio-marinho/pandas,tarcisio-marinho/pratica,tarcisio-marinho/ProjetoPOO,tarcisio-marinho/RSA,tarcisio-marinho/RSB-Framework,tarcisio-marinho/sorting-algorithms,tarcisio-marinho/syd","Python,C,Python,Python,C++,Python,C++,C++,Shell,Python,C,C,C,Python,Python,Python,C++,Python,Python,Python,Python,C++,Python,Python,C,Java,Python,Python,Python,C"
victorcarrico,"meiralins/sinais,vintasoftware/curly-enigma,vintasoftware/tapioca-youtube","Matlab,CSS,Python","victorcarrico/compilers,victorcarrico/django,victorcarrico/django-pagination-py3,victorcarrico/doao,victorcarrico/instageo,victorcarrico/learning-twisted,victorcarrico/machinelearing,victorcarrico/notificapassagem,victorcarrico/nude-detection-BoVF,victorcarrico/peerflix-server,victorcarrico/tapioca-instagram,victorcarrico/tapioca-tinder,victorcarrico/thermo,victorcarrico/titanium_modules,victorcarrico/victorcarrico.github.io","C,Python,Python,Common Lisp,Python,Python,Python,Python,Python,JavaScript,Python,Python,JavaScript,Objective-C,CSS"
thiagoarrais,"anonydog/anonydog,anonydog/testing-contributor_repo,anonydog/testing-maintainer_repo,apache/nano","Ruby,None,None,JavaScript","thiagoarrais/anonydog-hars,thiagoarrais/arrais-cool-package,thiagoarrais/arrais-cool-package-consumer,thiagoarrais/astro-wallpapers,thiagoarrais/auto-reply,thiagoarrais/bitcoin-demo,thiagoarrais/bitcoinbook,thiagoarrais/bootstrap-hello,thiagoarrais/como-testar,thiagoarrais/console,thiagoarrais/couchrest_model,thiagoarrais/cyclejs,thiagoarrais/dataviz,thiagoarrais/eclipsefp,thiagoarrais/ecto,thiagoarrais/ecto-1744-friends,thiagoarrais/flyingsaucer,thiagoarrais/foaas,thiagoarrais/foundation-hello,thiagoarrais/github-sandbox,thiagoarrais/graphql-server,thiagoarrais/gtk2hs,thiagoarrais/hackernews-client,thiagoarrais/hdbc-oracle,thiagoarrais/hello-world-recaptcha,thiagoarrais/heml-api,thiagoarrais/heml.io,thiagoarrais/howlargecaniprintit,thiagoarrais/imagenie,thiagoarrais/jekyll,thiagoarrais/kubernetes.github.io,thiagoarrais/lisp-in-c,thiagoarrais/Matterwiki,thiagoarrais/mitmproxy,thiagoarrais/motiro,thiagoarrais/mybatis-koans,thiagoarrais/nano,thiagoarrais/node,thiagoarrais/node-couchdb,thiagoarrais/node-imagemagick,thiagoarrais/now-cli,thiagoarrais/oauth,thiagoarrais/onebox,thiagoarrais/openssl,thiagoarrais/openstreetmap-watch-list,thiagoarrais/personal-toolbox,thiagoarrais/phaser-hello,thiagoarrais/play-i18n-hocon,thiagoarrais/playframework,thiagoarrais/practical-modern-javascript,thiagoarrais/rabbitmq-delayed-send,thiagoarrais/redux-todo,thiagoarrais/rodf,thiagoarrais/ruby-bench-web,thiagoarrais/rugged,thiagoarrais/rx-sandbox-helloworld,thiagoarrais/Shortner.js,thiagoarrais/thiagoarrais.github.io,thiagoarrais/vim-files,thiagoarrais/wsdl2plsql,thiagoarrais/xp-atomist-rugs","None,JavaScript,JavaScript,None,Go,None,HTML,HTML,TypeScript,C,Ruby,TypeScript,R,Java,Elixir,Elixir,Java,CoffeeScript,HTML,None,JavaScript,Haskell,JavaScript,Haskell,HTML,JavaScript,JavaScript,Ruby,CoffeeScript,Ruby,HTML,C,JavaScript,JavaScript,Ruby,DOT,JavaScript,JavaScript,JavaScript,JavaScript,JavaScript,Ruby,Ruby,C,Ruby,None,HTML,Scala,Scala,XSLT,Java,None,Ruby,Ruby,C,JavaScript,JavaScript,Ruby,VimL,None,TypeScript"
vanessa,"amandasavluchinske/mooc,amandasavluchinske/pokebattle,CITi-UFPE/citi-webplate,CITi-UFPE/citi-wikibot,citiufpe/citi-modules,IF977/InPolitica","Python,Python,Python,Python,None,Ruby","vanessa/5theWin,vanessa/citi-coding-style,vanessa/citi-webplate,vanessa/django-react-boilerplate,vanessa/pokebattle,vanessa/ptc-pw,vanessa/react-todo,vanessa/vanessa.github.io","Ruby,Shell,Python,Python,Python,HTML,JavaScript,HTML"
patrickrbc,"marcelolima/mean-chat,rfdslabs/Mimosa-Framework","JavaScript,C","patrickrbc/BIGip-cookie-decoder,patrickrbc/boilerplate,patrickrbc/CalculatorSocket,patrickrbc/chat-nodejs,patrickrbc/codigo-aulas,patrickrbc/dotfiles,patrickrbc/evilscan,patrickrbc/gmaps-bus-routes,patrickrbc/i18next-xhr-backend,patrickrbc/if1001-exercicio1,patrickrbc/if1001-exercicio2,patrickrbc/if1001-exercicio3,patrickrbc/if1001-todolist,patrickrbc/LaZagne,patrickrbc/manguezal.github.com,patrickrbc/mimikatz,patrickrbc/MobileApp-Pentest-Cheatsheet,patrickrbc/mocsa,patrickrbc/node-portscanner,patrickrbc/NodeJsScan,patrickrbc/patrickrbc.github.io,patrickrbc/PayloadsAllTheThings,patrickrbc/portal,patrickrbc/PowerShell,patrickrbc/PowerSploit,patrickrbc/RMICalc,patrickrbc/SOAP-webservices,patrickrbc/socialmedia-leak,patrickrbc/solidity,patrickrbc/string-mangler,patrickrbc/Sublist3r,patrickrbc/sucker,patrickrbc/tower-of-hanoi,patrickrbc/URI,patrickrbc/uxss-db,patrickrbc/vim-javascript-syntax,patrickrbc/vim-monokai,patrickrbc/vmware-host-modules,patrickrbc/WindowsEnum,patrickrbc/WindowsExploits,patrickrbc/WinPwnage","Python,JavaScript,Java,JavaScript,Java,Python,JavaScript,JavaScript,JavaScript,Java,Java,Java,None,Python,CSS,C,None,CSS,JavaScript,Python,HTML,Python,Makefile,PowerShell,PowerShell,Java,Java,HTML,C++,JavaScript,Python,JavaScript,Assembly,C++,HTML,None,VimL,None,PowerShell,Python,Python"
deyvisonrocha,"rhchristian/laravel-docs-pt-br,tisstech/bootstrap-laravel-scaffold","None,PHP","deyvisonrocha/adminlte-templates,deyvisonrocha/afd-reader,deyvisonrocha/brushing_bits,deyvisonrocha/Community-Tools,deyvisonrocha/conky-coins,deyvisonrocha/conky-crypto,deyvisonrocha/cotacaoxrb.github.io,deyvisonrocha/CryptoCoin-Price-Indicator,deyvisonrocha/desafio-programacao-1b,deyvisonrocha/deyvisonrocha.github.io,deyvisonrocha/docker-laravel-sqlsrv-oracle,deyvisonrocha/docker-nginx-lite,deyvisonrocha/ecommerce-test,deyvisonrocha/electron-boilerplate,deyvisonrocha/firefox-elementary-theme,deyvisonrocha/forum,deyvisonrocha/gito,deyvisonrocha/gitshowcase,deyvisonrocha/l5scaffold,deyvisonrocha/laradock,deyvisonrocha/laravel-5-scaffold,deyvisonrocha/laravel-base,deyvisonrocha/laravel-docs-pt-br,deyvisonrocha/laravel-generator,deyvisonrocha/laravel-jwt-api,deyvisonrocha/laravel-pagseguro,deyvisonrocha/laravel-vue-spa,deyvisonrocha/libretaxi,deyvisonrocha/mit-license,deyvisonrocha/neovim-config,deyvisonrocha/oracle-rm-dmp,deyvisonrocha/pantheon-terminal-notify-zsh-plugin,deyvisonrocha/php-sqlsrv-oracle,deyvisonrocha/phpbrew,deyvisonrocha/prerelease-settings,deyvisonrocha/profit-trailer,deyvisonrocha/project-example-vscode,deyvisonrocha/RaiLightServer,deyvisonrocha/RaiLightWallet,deyvisonrocha/railstead,deyvisonrocha/rubyjobsbrazil,deyvisonrocha/sge-rails,deyvisonrocha/sges,deyvisonrocha/shoplimpeza,deyvisonrocha/sig,deyvisonrocha/subproject-example-vscode,deyvisonrocha/test-back-2017,deyvisonrocha/thank-you-laravel,deyvisonrocha/thank-you-vuejs,deyvisonrocha/transportadora,deyvisonrocha/Ubuntu-Bootstrap,deyvisonrocha/xls-unprotector","PHP,PHP,Ruby,JavaScript,Python,Python,CSS,Python,None,CSS,Shell,None,PHP,JavaScript,CSS,None,Ruby,Ruby,PHP,Shell,PHP,PHP,None,PHP,PHP,PHP,PHP,JavaScript,CSS,None,None,Shell,None,Makefile,None,None,None,JavaScript,JavaScript,None,Ruby,Ruby,CSS,PHP,PHP,PHP,JavaScript,None,None,PHP,None,Java"
filipevarjao,tissuebond/FGSystem,None,"filipevarjao/blockchain,filipevarjao/blockchain_go,filipevarjao/CometPy,filipevarjao/cpython,filipevarjao/elixirconf2014,filipevarjao/elvis,filipevarjao/erjang,filipevarjao/fjerl,filipevarjao/gc-latency-experiment,filipevarjao/gcExperiment,filipevarjao/go,filipevarjao/go-slab,filipevarjao/IntPy,filipevarjao/jerl,filipevarjao/MooErl,filipevarjao/ooerlang,filipevarjao/ooErlang-grammar,filipevarjao/percept2,filipevarjao/pp,filipevarjao/qt-example,filipevarjao/redu.github.com,filipevarjao/rest-api,filipevarjao/results,filipevarjao/RosettaGoCode,filipevarjao/Ruby_101,filipevarjao/Ruby_102,filipevarjao/TCLBG,filipevarjao/tkn,filipevarjao/week-25","Go,Go,None,Python,None,Erlang,Java,ANTLR,Makefile,Go,Go,Go,Python,ANTLR,ANTLR,Erlang,Java,Erlang,TeX,Python,Ruby,Erlang,None,Go,Ruby,Ruby,Go,Ruby,Ruby"
brunolimawd,"CESARBR/colabora,ryalb/ColReorder,ryalb/ColReorderWithResize,ryalb/ColVis,ryalb/css-element-queries,ryalb/DataTables,ryalb/handsontable,ryalb/Plugins,ryalb/RowReorder","CSS,JavaScript,JavaScript,JavaScript,JavaScript,JavaScript,JavaScript,JavaScript,JavaScript","brunolimawd/accessibility-tools,brunolimawd/agency-jekyll-theme,brunolimawd/angular-seed,brunolimawd/attila,brunolimawd/bones,brunolimawd/bootstrap,brunolimawd/braziljs-conf,brunolimawd/brunolimawd.github.io,brunolimawd/carrodolixo,brunolimawd/Codestrong,brunolimawd/cordova-osx,brunolimawd/diveintohtml5,brunolimawd/easings.net,brunolimawd/eitri,brunolimawd/feec-caruaru,brunolimawd/feecbr-app,brunolimawd/femug,brunolimawd/fenris,brunolimawd/FireYQL,brunolimawd/foundation-emails-template,brunolimawd/gaia,brunolimawd/gamepad.js,brunolimawd/geeknightrecife.github.io,brunolimawd/goggles.mozilla.org,brunolimawd/hands-on-sass,brunolimawd/handsontable,brunolimawd/itscode,brunolimawd/ixda-rec,brunolimawd/jquery-boilerplate,brunolimawd/jsdaybr.github.io,brunolimawd/jsdaycg-360,brunolimawd/jshint,brunolimawd/kactus,brunolimawd/lur,brunolimawd/MaterialWiki,brunolimawd/mediawiki-moderation,brunolimawd/mirante,brunolimawd/moz-vr,brunolimawd/node-webkit,brunolimawd/nodebots.io,brunolimawd/norn,brunolimawd/Notepad,brunolimawd/Plugins,brunolimawd/podcast,brunolimawd/q2a-primer,brunolimawd/slush-bresa,brunolimawd/SNES-on-Android-with-original-controller,brunolimawd/talk-animation-time,brunolimawd/talk-firefoxos,brunolimawd/talk-moz-privacy,brunolimawd/talk-mozvr-aframe,brunolimawd/talk-nodebots-roll-out,brunolimawd/talk-typescript,brunolimawd/themes-for-brackets,brunolimawd/three.js,brunolimawd/trianglify-generator,brunolimawd/webmaker-curriculum,brunolimawd/workshop-moz-firefoxos,brunolimawd/You-Dont-Know-JS","None,JavaScript,None,CSS,CSS,JavaScript,None,CSS,JavaScript,JavaScript,Objective-C,JavaScript,CSS,JavaScript,CSS,None,HTML,JavaScript,None,HTML,JavaScript,JavaScript,None,JavaScript,CSS,JavaScript,CSS,JavaScript,JavaScript,HTML,HTML,JavaScript,CSS,HTML,None,PHP,JavaScript,JavaScript,C++,HTML,None,None,JavaScript,CSS,None,JavaScript,Java,None,JavaScript,CSS,CSS,CSS,JavaScript,CSS,JavaScript,CSS,HTML,JavaScript,JavaScript"
alexpessoajr,,,"alexpessoajr/alexpessoajr.github.io,alexpessoajr/alloy-ui,alexpessoajr/angular-seed,alexpessoajr/angularjs-directives,alexpessoajr/boot-download-manager,alexpessoajr/business-model-canvas,alexpessoajr/data-structures,alexpessoajr/es2015-code,alexpessoajr/frontend-challenges,alexpessoajr/git-tools,alexpessoajr/gtk-hello,alexpessoajr/kanban,alexpessoajr/liferay-plugins,alexpessoajr/liferay-portal,alexpessoajr/memory-game,alexpessoajr/piao-da-atualizacao,alexpessoajr/programming-challenges,alexpessoajr/swot,alexpessoajr/topcoder,alexpessoajr/yui-select","HTML,JavaScript,JavaScript,JavaScript,None,JavaScript,Java,JavaScript,None,Python,Vala,None,Java,Java,JavaScript,CSS,C++,HTML,Java,JavaScript"
brunnogomes,"acaxon/cloudco-insurance-bot,axontec/sei,tarruda/Algoritmos,wfsneto/producer","CSS,Ruby,JavaScript,Ruby","brunnogomes/active_yaml,brunnogomes/cordova-plugin-ibeacon,brunnogomes/mobile-pronto,brunnogomes/movies-for-hackers,brunnogomes/rubocop","Ruby,JavaScript,Ruby,Shell,Ruby"
mauriciomanoel,,,"mauriciomanoel/AESODESENV22016.1,mauriciomanoel/AESODESENV32015.2,mauriciomanoel/AESODESENV32016.2,mauriciomanoel/Agenda-Alura,mauriciomanoel/Android-Agenda,mauriciomanoel/application,mauriciomanoel/biblioteca,mauriciomanoel/bibtexParse,mauriciomanoel/crawler-elsevier-sciencedirect,mauriciomanoel/crawler-google-scholar,mauriciomanoel/crawler-periodicos-capes,mauriciomanoel/crawler-pmc,mauriciomanoel/crawler-springer-link,mauriciomanoel/ete-webdesign,mauriciomanoel/FAFICAPOO20152,mauriciomanoel/mysm,mauriciomanoel/parser_us_national_library_of_medicine,mauriciomanoel/periodicos,mauriciomanoel/pgee9182017.1-beaglebone,mauriciomanoel/pgee9182017.1-galileo,mauriciomanoel/pgee9182017.1-kl25z,mauriciomanoel/pgee9182017.1-msp430,mauriciomanoel/pgee9182017.1-raspberry,mauriciomanoel/pgeeIA2017.2,mauriciomanoel/slack-list-brazil,mauriciomanoel/Sunshine-Version-2,mauriciomanoel/TOPICOSESII2015.2,mauriciomanoel/TOPICOSII2016.2","Java,Java,Java,Java,Java,JavaScript,Java,PHP,TeX,TeX,TeX,None,TeX,HTML,Java,PHP,HTML,TeX,None,C++,C++,Batchfile,Python,PHP,PHP,Java,Java,Java"
arthurmichel,felipemarques8/controlefacil_v2,JavaScript,"arthurmichel/a-wp-react-redux-theme,arthurmichel/all-animation,arthurmichel/cerebro,arthurmichel/email-boilerplate,arthurmichel/ferramentas,arthurmichel/gulp-web-app-workflow,arthurmichel/mail-for-good,arthurmichel/nginxse-virtualhost-generator,arthurmichel/paperwork,arthurmichel/presentation-list,arthurmichel/sharer.js,arthurmichel/smacss-boilerplate,arthurmichel/trigger,arthurmichel/ws,arthurmichel/xvfb_runner","JavaScript,CSS,None,PHP,None,CSS,JavaScript,Shell,JavaScript,None,JavaScript,CSS,JavaScript,JavaScript,JavaScript"
mayrarabelo,sephioh/flisol-jaboatao,None,"mayrarabelo/Arduino_Initial,mayrarabelo/flisol,mayrarabelo/flisoljaboatao,mayrarabelo/frontend-nanodegree-resume,mayrarabelo/java-inicial,mayrarabelo/mayrarabelo.github.io,mayrarabelo/RailsGirlsRecife_2015,mayrarabelo/RailsGirlsRecife_2016","Arduino,None,None,JavaScript,Java,CSS,Ruby,Ruby"
akshaykarle,"akshaymankar/gitslides,akshaymankar/my_ultimate_repo,andreitognolo/aulas-css,andreitognolo/stonecutter,carlast22/twal-missions,celsosantarosa/nodejs,dtsato/loja-virtual-devops,dtsato/loja-virtual-devops-puppet,hiphapa/guest-blog-posts.blogs.snap-ci.com,mavcunha/misc,oogabooga/simple-rack-app,rahlawat/Bootcamp,thoughtworks/talisman,vishalnaik/docker-mezzanine,vishalnaik/hello-world-django,vishalnaik/node-js-docker,vishalnaik/rails-docker-example,vishalnaik/rails-meets-docker","None,None,HTML,Clojure,Ruby,Ruby,CSS,Puppet,CSS,Shell,Ruby,Java,Go,Python,Python,JavaScript,Ruby,Shell","akshaykarle/AccentWatch,akshaykarle/akshaykarle.github.com,akshaykarle/angular-phonecat,akshaykarle/ant_jetty_minimal,akshaykarle/arduino-samples,akshaykarle/aulas-css,akshaykarle/bad-stomata,akshaykarle/bashed-containers,akshaykarle/biblioteca,akshaykarle/biblioteca-refactoring,akshaykarle/bitstarter,akshaykarle/Bootcamp,akshaykarle/build-radiator,akshaykarle/ci_status,akshaykarle/codecov.io,akshaykarle/coding-in-production,akshaykarle/cookbook-testing-spike,akshaykarle/dashtag,akshaykarle/docker,akshaykarle/docker-cookbook,akshaykarle/documentation,akshaykarle/dotfiles,akshaykarle/dropwizard-snapci-sample,akshaykarle/dxnn,akshaykarle/ember_rest_example,akshaykarle/flask,akshaykarle/go-http-digest-auth-client,akshaykarle/go-mongodbatlas,akshaykarle/gocd-docker,akshaykarle/gocd-yaml-config-example,akshaykarle/gomatic,akshaykarle/gradle-android-example,akshaykarle/hello-world,akshaykarle/heroku-jugaad,akshaykarle/hnotebook,akshaykarle/jquery-bar-rating,akshaykarle/jruby-rails-sample,akshaykarle/kvm-tmem,akshaykarle/ListOfMinimalistFrameworks,akshaykarle/lxc,akshaykarle/lxc-ci,akshaykarle/lxd,akshaykarle/made-mistakes-jekyll,akshaykarle/maven-example,akshaykarle/mixlib-shellout,akshaykarle/myboxen,akshaykarle/net-ssh-shell,akshaykarle/nginx,akshaykarle/node-js-getting-started,akshaykarle/opsworks-demo-php-simple-app,akshaykarle/play2-scala-todolist,akshaykarle/protractor-demo,akshaykarle/puppet-java,akshaykarle/puppet-postgresql,akshaykarle/puppet-rubymine,akshaykarle/puppet-vagrant,akshaykarle/rails-4.1-sample,akshaykarle/rails4_spike,akshaykarle/railsgirls,akshaykarle/railsgirls.github.com,akshaykarle/railsideas,akshaykarle/railways,akshaykarle/rancher-cluster,akshaykarle/ratpack,akshaykarle/rbenv,akshaykarle/rkt,akshaykarle/ruby-build,akshaykarle/ruby-lxc,akshaykarle/ruleworldgem,akshaykarle/s3_website,akshaykarle/sandforms,akshaykarle/simple_build_radiator,akshaykarle/slidemaker,akshaykarle/snap2slack,akshaykarle/sos_denuncia,akshaykarle/stomata,akshaykarle/terraform,akshaykarle/terraform-ecs-modules,akshaykarle/terraform-provider-mongodbatlas,akshaykarle/test-count,akshaykarle/test-parser,akshaykarle/twal-missions,akshaykarle/TWURefactoring,akshaykarle/TWU_29_Books,akshaykarle/UltimateProjectMoo,akshaykarle/veewee,akshaykarle/x-rubygem-with-test-unit","Java,CSS,JavaScript,Java,Arduino,CSS,Ruby,C,Java,Java,JavaScript,Java,Ruby,Ruby,JavaScript,Ruby,Ruby,None,Go,Ruby,Shell,Shell,Java,Erlang,Ruby,Python,Go,Go,HCL,None,Python,Java,Ruby,None,Python,JavaScript,Ruby,C,None,C,Python,Go,CSS,None,Ruby,Ruby,Ruby,Ruby,CSS,None,Scala,JavaScript,Puppet,Ruby,Shell,Ruby,Ruby,Ruby,Ruby,HTML,Ruby,Ruby,Shell,None,Shell,Go,Shell,C,None,Scala,JavaScript,Ruby,JavaScript,Ruby,CSS,Ruby,Go,HCL,Go,Ruby,Ruby,Ruby,Java,Java,None,Shell,Ruby"
