User,In_Degree,Out_Degree,Degree,Modularity_Class,Page_Rank,Eccentricity_Centrality,Closness_Centrality,Betweeness_Centrality,EigenVector_Centrality
daniloBlera,2,0,2,24,0.001107,0,0.0,0.0,0.005896
AlexandreDiegoS,2,2,4,5,0.001373,11,0.166667,1192.299225,0.016644
lucasbarross,2,4,6,13,0.000709,12,0.147169,1096.0,0.003568
hpbl,2,2,4,6,0.000625,8,0.223856,0.0,0.023445
tiagotrigo,2,0,2,14,0.000489,0,0.0,0.0,0.0032310000000000004
neryluc,2,1,3,12,0.000753,11,0.15423599999999998,1172.007741,0.007047
erickapsilva,2,0,2,10,0.000691,0,0.0,0.0,0.002993
rpragana,2,0,2,5,0.001082,0,0.0,0.0,0.078098
wfsneto,2,0,2,4,0.000598,0,0.0,0.0,0.014872
mulatinho,2,1,3,7,0.002789,2,0.666667,2.0,0.005225
lpmfilho,2,0,2,9,0.001085,0,0.0,0.0,0.055488
brunosouza,2,1,3,14,0.000787,1,1.0,465.704762,0.046224
AdeildoNeto,2,0,2,7,0.000743,0,0.0,0.0,0.004283
gillianomenezes,2,1,3,7,0.0010960000000000002,11,0.174578,8.14697,0.011504
rcaferraz,2,0,2,0,0.0005809999999999999,0,0.0,0.0,0.02409
fabiorush,2,0,2,17,0.000562,0,0.0,0.0,0.001861
nivan,2,0,2,6,0.000592,0,0.0,0.0,0.018919
PauloSanches,2,0,2,5,0.000543,0,0.0,0.0,0.012487
assj,2,2,4,5,0.002102,12,0.142969,609.7519639999998,0.007024
cinguilherme,2,0,2,0,0.0008960000000000002,0,0.0,0.0,0.086635
fjmartins,2,3,5,15,0.000936,10,0.183585,5172.0,0.006329
UdneyCarvalho,2,2,4,24,0.001803,2,0.75,0.0,0.004907
abhnerAraujo,2,1,3,5,0.002383,1,1.0,505.0,0.018003
diogoffmelo,2,1,3,22,0.001172,2,0.666667,2.0,0.002269
pabloreis,2,0,2,21,0.000725,0,0.0,0.0,0.002632
GabrielGouv,2,2,4,6,0.000999,10,0.169712,0.0,0.006981
saulolso,2,0,2,4,0.000684,0,0.0,0.0,0.045849
linhaplana,2,0,2,4,0.000947,0,0.0,0.0,0.005764
andresmachado,2,0,2,0,0.000685,0,0.0,0.0,0.011184
AlexSoaresDeSiqueira,2,3,5,10,0.000784,11,0.14747000000000002,562.401833,0.008064
fms6,2,2,4,13,0.001342,12,0.157743,547.0,0.004288
aquelefelipe,2,0,2,0,0.00043,0,0.0,0.0,0.012602
Daanielvb,2,0,2,33,0.000749,0,0.0,0.0,0.001861
gabrielteodosio,2,3,5,15,0.001261,12,0.134743,504.0,0.004551
pricardoti,2,0,2,20,0.000749,0,0.0,0.0,0.001861
ricardowendell,2,0,2,9,0.000816,0,0.0,0.0,0.028956
andredm,2,0,2,0,0.000685,0,0.0,0.0,0.10886400000000004
izaiasavila,2,4,6,10,0.000585,11,0.194464,778.382845,0.003867
joelnetodev,2,2,4,21,0.0008470000000000001,12,0.18285,0.0,0.012028
williambeto,2,1,3,12,0.000692,11,0.15423599999999998,905.717054,0.004825
WilliamRoger,2,2,4,4,0.0019920000000000003,10,0.186331,1050.0,0.01819
feliperp-81,2,0,2,5,0.000677,0,0.0,0.0,0.040239
thiagoprazeres,2,2,4,24,0.000726,12,0.160704,569.252941,0.005963
wtmf,2,0,2,5,0.00045,0,0.0,0.0,0.039799
eduardo-melo,2,0,2,8,0.001306,0,0.0,0.0,0.017533
alvarocavalcanti,2,0,2,9,0.000816,0,0.0,0.0,0.028956
lucianowolf,2,0,2,0,0.0005269999999999999,0,0.0,0.0,0.032247000000000005
davincif,2,0,2,2,0.0007019999999999999,0,0.0,0.0,0.001861
thiagoolsilva,2,1,3,10,0.000858,10,0.189161,0.0,0.016689
wallacethierre,2,1,3,10,0.000858,10,0.189161,0.0,0.016689
tonidas,2,0,2,6,0.001134,0,0.0,0.0,0.016799
iagoneresb,2,3,5,24,0.001172,3,0.5,8.0,0.00269
consensotec,2,0,2,7,0.000679,0,0.0,0.0,0.001861
marcocarnut,2,0,2,0,0.000535,0,0.0,0.0,0.036157
adilsonchacon,2,0,2,9,0.000502,0,0.0,0.0,0.023327
dennys-bd,2,0,2,14,0.000679,0,0.0,0.0,0.001861
jonathantsilva,2,0,2,4,0.000633,0,0.0,0.0,0.017526
prximenes,2,3,5,13,0.000883,11,0.15625899999999998,0.0,0.006836
PunishedBois,2,2,4,13,0.000883,11,0.15621400000000002,0.0,0.006836
felipedemacedo,2,2,4,0,0.000733,10,0.197051,659.917328,0.011398
Matheus-Campos,2,0,2,24,0.000683,0,0.0,0.0,0.006333
jfabiofl,2,0,2,4,0.00074,0,0.0,0.0,0.005195
rbrazileiro,2,0,2,10,0.000641,0,0.0,0.0,0.011635
LGR3,2,3,5,13,0.000633,10,0.183462,1952.019199,0.0054340000000000005
fchicout,2,2,4,10,0.0017059999999999998,11,0.17688800000000002,2145.0,0.005093
viniciusmsfraga,2,0,2,1,0.000627,0,0.0,0.0,0.00222
mabj,2,0,2,3,0.000733,0,0.0,0.0,0.005203
ntocampos,2,2,4,13,0.000996,10,0.201916,1293.278116,0.032836000000000004
sudorafa,2,1,3,10,0.000816,12,0.150535,1098.0,0.0025800000000000003
rennanmoura1990,2,3,5,19,0.001404,1,1.0,2.0,0.003568
kessiacastro,2,2,4,9,0.001223,11,0.21191,0.0,0.034822000000000006
dmente03,2,9,11,0,0.000737,10,0.238988,1069.121342,0.012518
luizpaulogodoy,2,8,10,14,0.00049,10,0.207262,1638.155244,0.004754
jcrbsa,2,1,3,9,0.0008119999999999999,11,0.197051,316.08586,0.02057
ledebour,2,3,5,5,0.000986,12,0.140665,1099.0,0.002269
adailsonfilho,2,2,4,0,0.000539,10,0.208444,554.6474929999998,0.007042000000000001
giuliosa,2,2,4,9,0.001172,11,0.212074,18.803068,0.03879
magalhaesrebecca,2,1,3,9,0.0006,11,0.212051,0.0,0.006573000000000001
fecalemos,2,3,5,12,0.004081,9,0.220346,3104.509766,0.011401
raisagalindo,2,4,6,9,0.00061,11,0.2142030000000001,0.0,0.006296
tecavasconcelos,2,5,7,9,0.0006190000000000001,11,0.214286,3.0,0.0073170000000000015
tpmarcs,2,3,5,14,0.000878,9,0.223948,162.299432,0.014032
daicorrea,2,2,4,9,0.001223,11,0.21191,0.0,0.034822000000000006
SandroSena,2,2,4,8,0.001022,11,0.200073,539.006926,0.014658
leonardooo,2,2,4,9,0.000773,11,0.215663,1201.84215,0.031293
guuhh,2,2,4,14,0.000977,11,0.194326,651.0424059999998,0.014143
valterh4ck3r,2,4,6,7,0.001291,11,0.197549,822.558725,0.020039
BernardoHazin,2,1,3,5,0.000717,10,0.205013,548.0,0.020961
MauricioLimaJR,2,2,4,15,0.001154,10,0.20509,0.0,0.025431
joaopaulosama,2,11,13,7,0.000918,10,0.233191,8794.258026000001,0.00775
victorfsf,2,2,4,0,0.000519,10,0.219815,248.403372,0.061677
pernambucano,2,2,4,0,0.000579,10,0.219727,613.521419,0.059478
tuliocpbs,2,1,3,0,0.000519,10,0.219112,0.0,0.061677
sfilhu,2,8,10,21,0.000754,9,0.208207,4042.4097090000014,0.06568099999999999
fraposo,2,1,3,4,0.000786,10,0.203945,0.0,0.056217
thaisabr,2,2,4,6,0.001827,11,0.155859,4.369048,0.040134
rbm4,2,4,6,13,0.000584,10,0.195296,1572.300565,0.003741
geocarvalho,2,4,6,0,0.000618,11,0.195924,503.5,0.004819
ivanAndrade,2,4,6,4,0.000786,10,0.21772,504.0,0.056217
Augusto94,2,2,4,6,0.000671,1,1.0,506.583333,0.004485
marcoshmendes,2,6,8,4,0.000788,10,0.224867,687.505542,0.01405
viniciusgalvao,2,4,6,4,0.0007019999999999999,10,0.225793,524.945376,0.046545
paulinhoerry,2,3,5,4,0.001044,10,0.21746,516.606659,0.050317
wbgalvao,2,3,5,0,0.000676,11,0.195854,1004.0,0.024858
ramonsantos,2,6,8,8,0.001159,11,0.214314,2558.25,0.006498
mauriciomanoel,2,2,4,9,0.001201,10,0.180085,113.576136,0.035146
filipeluiz,2,2,4,12,0.002038,10,0.183339,269.47879,0.017518000000000002
amandasavluchinske,2,15,17,0,0.000522,9,0.222042,775.0,0.012602
mangueBit,2,9,11,13,0.000797,9,0.237332,1750.31424,0.003151
heitorpaceli,2,4,6,5,0.000731,9,0.228238,124.020907,0.039373000000000005
jctvEC,2,3,5,13,0.001328,11,0.15986,1050.0,0.004265
carlosvictor,2,4,6,10,0.000842,10,0.197905,2208.099416,0.010529
gilesv,2,4,6,6,0.000688,9,0.204097,0.0,0.004841
matheuslins,2,8,10,0,0.0007570000000000001,10,0.23064,1536.483297,0.021868
eduardosm7,2,4,6,6,0.000688,9,0.204097,0.0,0.004841
andersonberg,2,2,4,7,0.001638,10,0.21142,1003.100643,0.094856
wellington16,2,6,8,0,0.0008619999999999999,10,0.225329,3764.229705,0.004985
foolOnTheHill,2,4,6,6,0.000504,9,0.222132,37.756746,0.011955
victoracioli,2,2,4,0,0.000833,10,0.211338,0.0,0.148134
filipecabraal,1,1,2,21,0.000609,12,0.155367,550.0,0.00093
lsca,1,0,1,13,0.000426,0,0.0,0.0,0.00157
saulo2,1,0,1,12,0.0005780000000000001,0,0.0,0.0,0.00219
tavlima,1,0,1,0,0.00043,0,0.0,0.0,0.036288
eron93br,1,1,2,7,0.000611,2,0.666667,1010.0,0.002729
glpibr,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
miguel89,1,0,1,6,0.000376,0,0.0,0.0,0.00093
felipemanga,1,0,1,21,0.001145,0,0.0,0.0,0.012813
joaozig,1,0,1,14,0.000382,0,0.0,0.0,0.003392
allandoamaral,1,0,1,15,0.000469,0,0.0,0.0,0.00093
raafaelima,1,1,2,5,0.000609,13,0.123346,0.0,0.0016
joelcipriano,1,0,1,6,0.000393,0,0.0,0.0,0.004511
jpaulorio,1,0,1,9,0.000481,0,0.0,0.0,0.017694
alisonamerico,1,0,1,24,0.000534,0,0.0,0.0,0.002724
misawsneto,1,0,1,-3,0.000734,0,0.0,0.0,0.00129
brunosan7os,1,1,2,0,0.000451,11,0.183954,0.0,0.001975
monteiro-luiz,1,0,1,13,0.000745,0,0.0,0.0,0.004654999999999999
hfcamilo,1,0,1,4,0.0006190000000000001,0,0.0,0.0,0.001859
rnns,1,0,1,0,0.00043,0,0.0,0.0,0.036288
dpm-cin,1,0,1,1,0.000487,0,0.0,0.0,0.00129
jonathan-silva,1,0,1,7,0.000663,0,0.0,0.0,0.016134
MayaraCastro,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
Thyerry,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
cassianoricardo,1,0,1,8,0.000493,0,0.0,0.0,0.002043
diogo-lins,1,0,1,5,0.00043,0,0.0,0.0,0.026867
rafarocha,1,0,1,-3,0.000469,0,0.0,0.0,0.00093
danielmedeiros52,1,0,1,5,0.000382,0,0.0,0.0,0.01656
raphaelmonte,1,1,2,-3,0.000609,1,1.0,1.0,0.00093
fabiorecife,1,0,1,15,0.000594,0,0.0,0.0,0.002088
akshaykarle,1,0,1,9,0.000481,0,0.0,0.0,0.017694
aeciovc,1,0,1,20,0.000469,0,0.0,0.0,0.00093
wagnerpaxs,1,2,3,-3,0.000953,1,1.0,1.0,0.00129
ianfireman,1,1,2,5,0.002355,1,1.0,0.0,0.002993
igor-simoes,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
leleofg,1,0,1,-3,0.0008470000000000001,0,0.0,0.0,0.001235
Artrogeno,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
rodrigojulianib,1,1,2,-3,0.000734,2,0.666667,0.0,0.00129
KewinLima,1,2,3,-3,0.000953,1,1.0,1.0,0.00129
medeirosrod,1,3,4,14,0.0005480000000000001,2,0.8,1080.193589,0.010704
niltonheck,1,0,1,18,0.000469,0,0.0,0.0,0.00093
danielfsbarreto,1,0,1,9,0.000481,0,0.0,0.0,0.017694
MarcusDEFGH,1,0,1,0,0.00041,0,0.0,0.0,0.003129
geraldo7junior,1,0,1,24,0.000638,0,0.0,0.0,0.002108
gildoneto,1,1,2,4,0.001176,11,0.15711,0.0,0.002925
elidioxg,1,1,2,6,0.000556,10,0.178224,0.0,0.00129
phellipealexandre,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
tmoura10,1,0,1,5,0.000397,0,0.0,0.0,0.023239
EduardoFreit,1,1,2,13,0.000705,12,0.13786199999999998,0.0,0.001846
palmeidaprog,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
pianolab,1,0,1,21,0.000445,0,0.0,0.0,0.0017010000000000007
marvinbraga,1,0,1,6,0.00044,0,0.0,0.0,0.007444
thiagohenrique0810,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
gugacarvalho,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
eduardoluiz7,1,1,2,5,0.000734,11,0.160631,0.0,0.00129
engtom,1,1,2,-3,0.000734,2,0.666667,0.0,0.00129
klaytoncavalcante,1,1,2,7,0.0004,11,0.189161,0.0,0.002217
pethersilva,1,0,1,10,0.000718,0,0.0,0.0,0.008745000000000001
cleniomendes,1,2,3,0,0.000573,11,0.165215,115.821729,0.00129
debscorreia,1,0,1,0,0.0006490000000000001,0,0.0,0.0,0.091049
vitordeatorreao,1,2,3,22,0.001326,1,1.0,2.0,0.0016
estevaocm,1,0,1,9,0.000399,0,0.0,0.0,0.0016190000000000002
ianlucas,1,1,2,11,0.000556,11,0.17263,0.0,0.00129
wylliams,1,0,1,5,0.000462,0,0.0,0.0,0.005738
jefferson-lima,1,0,1,8,0.000493,0,0.0,0.0,0.002043
filipecalegario,1,0,1,10,0.0005480000000000001,0,0.0,0.0,0.010704
diegocarloslima,1,0,1,0,0.000431,0,0.0,0.0,0.01445
mariojor,1,0,1,9,0.0007030000000000001,0,0.0,0.0,0.029673
sjcostaneto,1,1,2,8,0.000493,12,0.176546,0.0,0.002043
marcelogalvao,1,0,1,21,0.000422,0,0.0,0.0,0.00093
ess2,1,1,2,13,0.000404,10,0.191877,0.0,0.0017239999999999998
brunolrb,1,0,1,7,0.000399,0,0.0,0.0,0.00093
rafaelroballo,1,0,1,15,0.0005200000000000001,0,0.0,0.0,0.004017
batebit,1,0,1,5,0.000422,0,0.0,0.0,0.00093
wlcosta,1,0,1,9,0.000588,0,0.0,0.0,0.007229000000000002
marcomachado,1,0,1,-3,0.000469,0,0.0,0.0,0.00093
svaf2,1,0,1,13,0.000426,0,0.0,0.0,0.00157
jean-rar,1,0,1,15,0.000686,0,0.0,0.0,0.001916
RobsonPereira13,1,0,1,19,0.000727,0,0.0,0.0,0.001784
wesleygcs,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
ericlrf,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
manoelamorimneto,1,0,1,5,0.000404,0,0.0,0.0,0.025802
JNMarcos,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
romagueralima,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
jessica-rmo,1,0,1,6,0.00037,0,0.0,0.0,0.001714
axontec,1,0,1,0,0.00049,0,0.0,0.0,0.041845
mgrb,1,0,1,24,0.0005769999999999999,0,0.0,0.0,0.002353
sabrinandrade,1,0,1,5,0.000382,0,0.0,0.0,0.01656
Rafaziz,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
madytorres,1,0,1,4,0.0006320000000000001,0,0.0,0.0,0.04398
tecnologiane10,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
reueljonathan,1,0,1,6,0.00044,0,0.0,0.0,0.007444
denissonsantos,1,0,1,4,0.000496,0,0.0,0.0,0.006141
leimig,1,1,2,6,0.000392,1,1.0,2.0,0.00129
carloseachaves,1,1,2,6,0.000392,10,0.204293,0.0,0.00129
matheusqfs,1,1,2,28,0.000556,2,0.6,0.0,0.00129
antonioaurel,1,0,1,5,0.000469,0,0.0,0.0,0.00093
alejoceballos,1,0,1,6,0.000662,0,0.0,0.0,0.00129
flavioms7,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
rodrigoal,1,0,1,15,0.001199,0,0.0,0.0,0.003039
rfapo,1,0,1,12,0.000385,0,0.0,0.0,0.00093
danielAtOgilvy,1,0,1,21,0.000409,0,0.0,0.0,0.006749
PedroRafaelDinizMarinho,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
guilhermegomes01,1,1,2,4,0.000412,11,0.16845,0.0,0.00129
wilberto-blaze,1,0,1,14,0.000382,0,0.0,0.0,0.003392
feliperod,1,0,1,0,0.000439,0,0.0,0.0,0.058547
andreleitao,1,0,1,6,0.000499,0,0.0,0.0,0.017988999999999998
mmfsf,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
vitorbc,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
lericardolima,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
rfccg,1,0,1,6,0.00041500000000000017,0,0.0,0.0,0.005378
douglascas,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
joaosantana,1,0,1,0,0.000681,0,0.0,0.0,0.063614
tiagofsilva,1,0,1,0,0.001078,0,0.0,0.0,0.008705
dolalima,1,0,1,10,0.0010539999999999998,0,0.0,0.0,0.00198
gdanzi,1,0,1,22,0.000893,0,0.0,0.0,0.001339
hugonmelo,1,0,1,0,0.0004940000000000001,0,0.0,0.0,0.002549
felipebelucena,1,0,1,10,0.0005480000000000001,0,0.0,0.0,0.010704
iatj,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
italolemos,1,0,1,33,0.000469,0,0.0,0.0,0.00093
rodrigomuribec,1,0,1,0,0.000387,0,0.0,0.0,0.015580000000000004
filipecmedeiros,1,0,1,-3,0.0008470000000000001,0,0.0,0.0,0.001235
gustavolopess,1,1,2,-3,0.000609,1,1.0,1.0,0.00093
mayarajuvencio,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
hugosteixeira,1,0,1,24,0.000478,0,0.0,0.0,0.00361
sergio3010,1,0,1,0,0.000681,0,0.0,0.0,0.063614
BAMoreira,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
andalvalmeida,1,0,1,13,0.000487,0,0.0,0.0,0.00129
fabiolindemberg,1,0,1,9,0.000422,0,0.0,0.0,0.00093
Uirado,1,1,2,16,0.000734,2,0.666667,0.0,0.00129
tulliusvinicius,1,0,1,4,0.000571,0,0.0,0.0,0.007767
VictorMouraz,1,1,2,15,0.000734,12,0.146823,0.0,0.00129
caiosm1005,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
thiagogalvao,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
Andre-dam,1,0,1,13,0.000463,0,0.0,0.0,0.002418
davidrft,1,1,2,7,0.000848,1,1.0,506.0,0.001406
betegelse,1,0,1,7,0.00105,0,0.0,0.0,0.001298
diegoferreirati,1,1,2,24,0.000661,4,0.35,0.0,0.001661
borgiani,1,0,1,17,0.000422,0,0.0,0.0,0.00093
sunr00t,1,0,1,24,0.000661,0,0.0,0.0,0.001661
ericksantana,1,0,1,10,0.000422,0,0.0,0.0,0.00093
anderssonmelo,1,0,1,0,0.000422,0,0.0,0.0,0.00093
lucasrbk,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
LucasFranciscoCorreia,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
diegotsouza83,1,0,1,11,0.000528,0,0.0,0.0,0.011304
petrusaugusto,1,0,1,28,0.000556,0,0.0,0.0,0.00129
ricardovasc,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
igoleo,1,0,1,0,0.00092,0,0.0,0.0,0.018044
vandialves,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
JPMagalhaes,1,1,2,12,0.000734,12,0.133075,0.0,0.00129
modcs,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
filipe-torres,1,0,1,14,0.000484,0,0.0,0.0,0.0022440000000000003
wsantanapitang,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
jeffrs,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
LucasNevesV,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
mfeitosa,1,0,1,9,0.000481,0,0.0,0.0,0.017694
jbjj,1,0,1,15,0.000469,0,0.0,0.0,0.00093
dcaragao,1,1,2,6,0.000421,12,0.16131900000000002,503.0,0.008884
emesonsantana,1,0,1,14,0.000382,0,0.0,0.0,0.003392
jpfreire,1,0,1,-2,0.000609,0,0.0,0.0,0.00093
slunart,1,0,1,10,0.000422,0,0.0,0.0,0.00093
hforesti,1,0,1,14,0.000484,0,0.0,0.0,0.0022440000000000003
ericmilfont,1,0,1,21,0.000791,0,0.0,0.0,0.00231
UmbertoB,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
CaioMalaquias,1,0,1,9,0.000539,0,0.0,0.0,0.001692
julioamorim,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
Kassio-Ferreira,1,0,1,6,0.000422,0,0.0,0.0,0.00093
84PC04,1,1,2,-2,0.002193,1,1.0,0.0,0.00129
AleffSouza,1,0,1,15,0.000672,0,0.0,0.0,0.0049310000000000005
brunofalc,1,0,1,28,0.000556,0,0.0,0.0,0.00129
atailton,1,3,4,28,0.000802,1,1.0,2.0,0.00129
BonnerAthos,1,0,1,7,0.0004,0,0.0,0.0,0.002217
Renartes,1,1,2,13,0.000487,10,0.16702,0.0,0.00129
acmd,1,1,2,1,0.000487,11,0.171322,0.0,0.00129
kepa,1,0,1,15,0.000629,0,0.0,0.0,0.007514
joelbarbosamoraes,1,0,1,2,0.000422,0,0.0,0.0,0.00093
walterjardim,1,0,1,14,0.000399,0,0.0,0.0,0.00093
joycelima,1,0,1,0,0.000439,0,0.0,0.0,0.058547
wba25,1,2,3,5,0.000953,10,0.191304,549.0,0.00129
marconemm,1,2,3,10,0.000573,13,0.131253,0.0,0.00129
ArthurLCastro,1,2,3,7,0.000663,11,0.197477,1512.0,0.016134
IsmaelGomes,1,2,3,10,0.000573,13,0.131253,0.0,0.00129
roMendes,1,1,2,9,0.000481,11,0.178676,0.0,0.017694
rubens73,1,2,3,10,0.00063,10,0.193982,0.0,0.006242
aht360,1,2,3,13,0.000624,11,0.17844400000000002,0.0,0.006063000000000001
Valgueiro,1,1,2,13,0.000624,11,0.159627,0.0,0.006063000000000001
zecafeitosa,1,1,2,21,0.0008470000000000001,11,0.183612,1098.0,0.001235
pnasc,1,2,3,13,0.000624,11,0.153158,533.321429,0.006063000000000001
eduardascharnhorst,1,2,3,15,0.000629,10,0.170239,1.5,0.007514
sccrn,1,2,3,15,0.000629,10,0.170239,1.5,0.007514
FranclinC,1,1,2,6,0.000469,1,1.0,1.0,0.00093
viniciusmantero,1,1,2,8,0.000697,12,0.191207,0.0,0.013213
felipeisidorio,1,1,2,8,0.000697,12,0.191207,0.0,0.013213
johanngomes,1,5,6,9,0.000481,10,0.199708,604.137343,0.017694
manunejaim,1,1,2,6,0.000499,9,0.219815,0.0,0.017988999999999998
jhdavino,1,5,6,10,0.000454,10,0.19812,154.048889,0.001784
lmmenge,1,1,2,0,0.006149,11,0.149686,0.0,0.047189
wsena,1,1,2,7,0.000663,11,0.197051,0.0,0.016134
andredidier,1,1,2,7,0.000663,11,0.197051,0.0,0.016134
wagnerbit,1,1,2,7,0.000663,11,0.197051,0.0,0.016134
rodrigoperazzo,1,2,3,12,0.000953,11,0.15346,549.0,0.00129
tvarjao,1,1,2,0,0.000582,10,0.192011,0.0,0.019002
diogoan,1,2,3,0,0.000387,10,0.208207,504.0,0.015580000000000004
draraujoo,1,1,2,11,0.0005780000000000001,11,0.190808,0.0,0.006357
fdsadat,1,1,2,0,0.00092,10,0.168667,0.0,0.018044
eduardolsneto2,1,2,3,0,0.000359,10,0.181818,0.0,0.002568
felipemarques8,1,1,2,4,0.000663,11,0.182241,0.0,0.01263
brunodutra,1,1,2,12,0.005882,1,1.0,0.0,0.004557
llac78,1,1,2,5,0.0005769999999999999,11,0.178385,0.0,0.013372
renatoalvesdev,1,2,3,4,0.000443,10,0.196486,0.0,0.002635
douglasrangel,1,7,8,4,0.000679,10,0.202499,550.0,0.00129
claudvanbarret,1,1,2,11,0.0005769999999999999,9,0.197763,0.0,0.006573000000000001
paulofloliveira,1,2,3,9,0.0004940000000000001,12,0.176806,7.0,0.0043
MaryCaroline,1,1,2,11,0.000528,10,0.201471,0.0,0.011304
gan640,1,1,2,13,0.000745,12,0.146289,0.0,0.004654999999999999
adecarli,1,2,3,13,0.000745,11,0.16960699999999998,0.0,0.004654999999999999
AleffHenrique,1,1,2,6,0.00044,9,0.198192,0.0,0.007444
felipebagetti,1,1,2,6,0.00044,9,0.198192,0.0,0.007444
rafaelllins,1,1,2,0,0.000432,11,0.189161,0.0,0.021708
lmyboy,1,1,2,11,0.000528,11,0.179731,72.435573,0.011304
ebl4,1,1,2,6,0.00044,9,0.205397,6.445238,0.007444
diogocaetano,1,1,2,6,0.000687,11,0.192011,547.0,0.002055
andersonpe,1,2,3,7,0.000663,11,0.208762,0.0,0.016134
IFormiga,1,3,4,10,0.000438,10,0.216772,982.909596,0.020030000000000003
albjoaov,1,2,3,15,0.000953,11,0.172036,549.0,0.00129
pedrojsn96,1,2,3,6,0.000614,1,1.0,0.0,0.001808
jamissonfreitas,1,4,5,0,0.000461,10,0.224039,92.767647,0.001837
thiagoarrais,1,8,9,9,0.0006580000000000001,11,0.20932,684.462589,0.0048200000000000005
GeneseLessa,1,2,3,0,0.000491,11,0.17413399999999998,0.0,0.008431000000000001
rsilvabr,1,2,3,0,0.000575,10,0.208682,0.0,0.050316
joaoluizdhv,1,4,5,1,0.000743,10,0.206664,551.0,0.00129
hugoesb,1,4,5,0,0.0006259999999999999,10,0.20956,0.696429,0.062202
marcelolima,1,2,3,0,0.00043,10,0.213729,0.0,0.036288
alicexmelo,1,1,2,9,0.0007030000000000001,11,0.211828,0.0,0.029673
witerbino,1,5,6,21,0.000624,10,0.223856,783.5264070000003,0.003609
mikeliguedes,1,1,2,9,0.0004940000000000001,11,0.212051,0.0,0.0043
grodrigues,1,11,12,5,0.000547,9,0.261201,2782.571479,0.026935
alexjosesilva,1,4,5,9,0.0007030000000000001,11,0.215918,1007.503003,0.029673
claudiopacheco,1,2,3,13,0.000453,9,0.213313,0.0,0.003418
itamarsilva,1,1,2,6,0.00037,9,0.202663,0.0,0.001714
esdrascavalcs,1,13,14,6,0.000629,9,0.261575,3341.022025,0.004653
dayvisons,1,3,4,6,0.00037,9,0.203113,6.142857,0.001714
rafaelfvcs,1,3,4,6,0.000802,9,0.216791,549.0,0.00129
luishmelo,1,3,4,6,0.00041500000000000017,9,0.222674,13.0,0.005378
rcbop,1,9,10,6,0.000662,9,0.256625,551.0,0.00129
viniciuspolux,1,2,3,8,0.000763,10,0.215155,184.854797,0.002885
lucianojsjr,1,3,4,4,0.000441,10,0.216772,5.3869050000000005,0.00266
agcloud,1,1,2,4,0.000625,10,0.213147,0.0,0.005863
patomarques,1,3,4,14,0.00037,11,0.224223,239.231932,0.001714
wison27,1,2,3,13,0.000745,12,0.146368,10.416667,0.004654999999999999
flaubert165,1,1,2,5,0.000404,10,0.210931,0.0,0.025802
Gabisampaio,1,2,3,6,0.001347,10,0.184388,0.0,0.020579
fmm,1,1,2,6,0.00041500000000000017,10,0.166363,13.9,0.005378
mafrnds,1,2,3,5,0.000547,11,0.20964,0.0,0.026935
yeltsinseal,1,1,2,5,0.000547,11,0.20956,0.0,0.026935
maysaborges,1,1,2,5,0.000547,11,0.20956,0.0,0.026935
ericklucena,1,1,2,5,0.000547,11,0.20956,0.0,0.026935
FilipelIOn,1,3,4,0,0.000478,11,0.204249,226.923988,0.00361
lucasbiagini,1,4,5,13,0.000743,9,0.200437,550.0,0.00129
levisaturnino,1,1,2,8,0.000493,10,0.180085,35.279459,0.002043
