User,In_Degree,Out_Degree,Degree,Modularity_Class,Page_Rank,Eccentricity_Centrality,Closness_Centrality,Betweeness_Centrality,EigenVector_Centrality
tancredosouza,5,1,6,13,0.001522,12,0.135242,2206.7308510000007,0.016517
Masterfoni,5,2,7,7,0.003009,12,0.16505999999999998,1674.185317,0.012423
lpmourato,5,4,9,10,0.001797,10,0.20586,1096.508039,0.034414
lubarinobr,5,6,11,21,0.002078,11,0.188446,2611.728561,0.015747
tarruda,5,0,5,10,0.002285,0,0.0,0.0,0.058168
alinedoleron,5,4,9,5,0.002118,10,0.2234,1845.462527,0.106604
favasconcelos,5,4,9,10,0.0016010000000000002,11,0.196557,1422.907502,0.025349
guilhermepaiva,5,9,14,0,0.001235,9,0.22635300000000005,1499.686226,0.04655
hamorim,5,6,11,14,0.00118,9,0.228906,2143.065046,0.072904
AugustoQueiroz,5,9,14,13,0.001551,10,0.18501,3457.332104,0.01369
ericbbraga,5,5,10,10,0.001267,10,0.228906,3659.582595,0.077952
casevictor,5,3,8,0,0.002844,10,0.192754,3780.34281,0.065224
Leviterus,5,7,12,13,0.001481,9,0.214146,7461.645073000002,0.013844
mayrarabelo,5,7,12,9,0.002134,10,0.231419,4960.26817,0.048199
djalmaafilho,5,0,5,14,0.001099,0,0.0,0.0,0.004652
douglaslira,5,1,6,8,0.001399,10,0.187222,442.045751,0.036716000000000006
hnka,5,6,11,15,0.002116,9,0.204936,4703.523639,0.06340499999999999
FranciscoMarinho,5,7,12,10,0.002558,9,0.233191,4583.119794,0.040468
sergiohampel,5,4,9,4,0.002122,10,0.218066,1214.761707,0.118062
mateusrevoredo,5,4,9,10,0.003215,10,0.214649,5459.21865,0.013299
dudurocha,5,0,5,0,0.0016239999999999998,0,0.0,0.0,0.303483
Vitor0liveira,5,6,11,11,0.00191,9,0.215409,6351.125399000001,0.025249
chocoelho,5,10,15,0,0.000893,9,0.227386,1166.782808,0.098944
jonathanslima,5,3,8,12,0.00203,11,0.211094,1665.626043,0.039332
brandizzi,5,0,5,5,0.0008039999999999999,0,0.0,0.0,0.099595
gabrieldluca,5,7,12,13,0.001024,9,0.219992,5563.476871,0.012081
ac-pm,4,0,4,10,0.0007700000000000001,0,0.0,0.0,0.020337
eduardobaia,4,2,6,8,0.001732,11,0.195505,1793.158341,0.027809
wwcoderecife,4,0,4,7,0.000958,0,0.0,0.0,0.053345
eltonrufino,4,5,9,8,0.002413,11,0.219904,4091.580909,0.032617
jrafaelm,4,0,4,0,0.002635,0,0.0,0.0,0.147454
phbraga,4,3,7,13,0.001057,10,0.191608,4074.149961,0.016451
rsarai,4,1,5,0,0.001399,13,0.125114,470.280199,0.024947
matheusmariano,4,0,4,9,0.0015949999999999998,0,0.0,0.0,0.010938
citiufpe,4,0,4,0,0.000704,0,0.0,0.0,0.016584
filipewl,4,6,10,0,0.0031850000000000003,10,0.246736,3933.01309,0.133441
aacgn,4,6,10,6,0.001503,9,0.204249,2096.0,0.01009
andreldm,4,2,6,7,0.005131,1,1.0,733.410943,0.025244
ThiagoAugustoSM,4,3,7,13,0.0013,10,0.180501,823.54881,0.012218
lhew,4,0,4,14,0.001263,0,0.0,0.0,0.009803
igormp,4,5,9,13,0.002395,11,0.156348,2267.047517,0.011989
cassiolpaixao90,4,7,11,5,0.001098,11,0.224131,2278.665848,0.03898
JohnsonMauro,4,6,10,21,0.001575,11,0.223218,3930.878306,0.062822
hugobessa,4,5,9,0,0.000859,9,0.226073,1993.773081,0.123681
corallocatelli,4,6,10,9,0.000884,11,0.214368,4.3333330000000005,0.010549
caionovaes,4,12,16,6,0.000905,9,0.239615,9045.944108,0.025609
guilhermebm,4,1,5,0,0.001578,11,0.174245,434.082672,0.194889
AnnyChien,4,5,9,9,0.000914,11,0.214286,4.8333330000000005,0.012315
renatohlf,4,4,8,15,0.0016120000000000002,10,0.211665,2925.525598,0.031299
caiobsouza,4,2,6,15,0.002046,13,0.128699,2610.553571,0.011664
gppeixoto,4,0,4,6,0.000758,0,0.0,0.0,0.065786
soareswallace,4,0,4,13,0.001274,0,0.0,0.0,0.011626
herbertt,4,0,4,6,0.003005,0,0.0,0.0,0.051229
PedroRossi,4,1,5,6,0.00085,11,0.15603599999999998,611.1464980000002,0.011566
filipe0513,4,4,8,0,0.001402,10,0.215494,11.518504,0.197264
raony,4,1,5,9,0.001391,11,0.18206,700.328655,0.106315
fernandopereira,4,7,11,0,0.001329,10,0.210526,1126.618751,0.082333
setanta,4,0,4,0,0.000705,0,0.0,0.0,0.085155
arineto,4,4,8,0,0.000972,10,0.23015500000000005,1924.297955,0.164434
MiniMarvin,4,0,4,13,0.0016350000000000002,0,0.0,0.0,0.010151
diogobrsantos,4,3,7,4,0.001158,11,0.182606,1537.81537,0.022584
vmms16,4,2,6,24,0.001987,2,0.75,1013.0,0.007162000000000002
tobiasparaiso,4,6,10,5,0.000625,10,0.220523,0.0,0.092468
soikmd2,4,4,8,4,0.00114,10,0.222945,3543.8203020000005,0.067748
paulomenezes,4,6,10,15,0.001349,9,0.223673,8001.905044,0.020705
AbrantesMar,4,6,10,8,0.001849,10,0.211013,4880.042803,0.024267
hfbassani,4,0,4,13,0.000968,0,0.0,0.0,0.011351
brunovpl,4,3,7,5,0.003023,11,0.183646,1722.441508,0.025667
alocjr,3,0,3,16,0.001294,0,0.0,0.0,0.003151
raquelguimaraes,3,1,4,9,0.001189,11,0.18206,88.43287600000002,0.058629
klebercode,3,7,10,0,0.001067,10,0.220701,1059.542098,0.077552
fehaa,3,6,9,8,0.001262,11,0.211175,1978.405059,0.020485
figueredo,3,2,5,0,0.000794,10,0.219376,562.85,0.068302
netoabel,3,0,3,5,0.000901,0,0.0,0.0,0.052309
matheusFTC,3,6,9,12,0.001235,11,0.217288,2738.8629,0.033415
andersongns,3,4,7,12,0.001223,11,0.211094,1050.0,0.033415
DyogoViana,3,1,4,5,0.000913,11,0.20956,0.0,0.036451
ThomasSousa96,3,3,6,7,0.002216,11,0.197477,2012.39682,0.022809
wagnerbeethoven,3,2,5,4,0.000952,2,0.666667,1529.18463,0.007497
MatheusSouza12,3,5,8,24,0.001202,10,0.191207,4512.764123,0.009777
andremelo87,3,4,7,10,0.000938,11,0.198623,732.2642940000003,0.016744
